0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0,0.0
0.0,0.0
1.799613147050152e-23,9.060342567811414e-10
1.0386478651511554e-22,2.19775791350313e-09
2.6225793215052807e-22,3.578875043739783e-09
4.647159110943902e-22,5.006171554979869e-09
6.889331218333986e-22,6.472267353307136e-09
9.249941316347044e-22,7.975939512033655e-09
1.169529952028826e-21,9.517042327867674e-09
1.4215871294419805e-21,1.1095620453316529e-08
1.6809510825931238e-21,1.2711703338537486e-08
1.9476033617048956e-21,1.4365324370475322e-08
2.2215732030138174e-21,1.6056537595941714e-08
2.502903236561562e-21,1.778540642624024e-08
2.7916411868852048e-21,1.9551998230928185e-08
3.0878370553762815e-21,2.1356383258173335e-08
3.391542042230864e-21,2.3198634403446323e-08
3.702808178029394e-21,2.507882714051102e-08
4.0216882181139866e-21,2.6997039484338832e-08
4.348235621471407e-21,2.8953351961698888e-08
4.682504553921463e-21,3.0947847584910794e-08
5.024549897778084e-21,3.298061182785541e-08
5.3744272631887765e-21,3.5051732603996625e-08
5.732192999960717e-21,3.716130024628942e-08
6.097904209602275e-21,3.930940748887926e-08
6.4716187575300366e-21,4.1496149450506643e-08
6.853395285441707e-21,4.3721623619538216e-08
7.243293223865981e-21,4.5985929840553184e-08
7.641372804901905e-21,4.8289170302416e-08
8.047695075160436e-21,5.0631449527774734e-08
8.462321908920312e-21,5.301287436392651e-08
8.88531602151e-21,5.5433553974997786e-08
9.316740982927068e-21,5.789359983538937e-08
9.7566612317061e-21,6.039312572444029e-08
1.0205142089046003e-20,6.293224772226853e-08
1.0662249773207447e-20,6.551108420675096e-08
1.1128051414190927e-20,6.812975585160334e-08
1.1602615068705998e-20,7.078838562552968e-08
1.2086029828170845e-20,7.348575063447982e-08
1.2577906173906447e-20,7.620214265157097e-08
1.3076374997888692e-20,7.892865770578065e-08
1.3579400880879158e-20,8.166347928069404e-08
1.408580868580883e-20,8.440627261052512e-08
1.4595126737042024e-20,8.715700317948978e-08
1.5107209940205723e-20,8.99156962886679e-08
1.56220301651407e-20,9.2682389198172e-08
1.6139595377831054e-20,9.545712173232384e-08
1.6659923755013006e-20,9.823993445248689e-08
