Days,Transpiration [kg/plant/day]
1,1.77868529744817E-06
2,1.14363948576731E-05
3,8.6429784343305E-06
4,3.82609061025799E-05
5,4.16350772346173E-05
6,9.89505287263106E-05
7,0.000120761629612
8,0.000130339851931
9,0.000291789970558
10,0.000567468275644
11,0.000729869415071
12,0.000917812118563
13,0.000626393120582
14,0.001246210183278
15,0.000587349835495
16,0.000576817028885
17,0.000550607524021
18,0.000720719465703
19,0.00105627954932
20,0.001020769386365
21,0.000713781077874
22,0.000417126306945
23,0.000927784829553
24,0.001333301599437
25,0.001249734164217
26,0.001906976151906
27,0.002488226993075
28,0.003540979155464
29,0.00310568811746
30,0.003511560351054
31,0.014113830177369
32,0.003096608499916
33,0.008111226311701
34,0.011772780376999
35,0.000794589579894
36,0.003371142483586
37,0.012673186347108
38,0.004223540264081
39,0.006207710313394
40,0.005947273385252
41,0.006531422878665
42,0.010082251638206
43,0.01478511910406
44,0.002831189679472
45,0.00826809819115
46,0.006177809925107
47,0.012793853665523
48,0.017068630698885
49,0.006608248461473
50,0.016052265134617
51,0.012085572229238
52,0.020417284764729
53,0.015606852820838
54,0.001698412027212
55,0.007806381216633
56,0.013548009266071
57,0.016840735121302
58,0.008452951805645
59,0.0204927491336
60,0.015059687034493
61,0.004614685738607
62,0.0094385566418
63,0.006258665558824
64,0.007375261718416
65,0.005896134174528
66,0.006087682209457
67,0.01220902305669
68,0.010724794712664
69,0.013087176580205
70,0.006557920263647
71,0.008947407329499
72,0.005231557506325
73,0.021227515441723
74,0.013948314636732
75,0.008564524687672
76,0.005057057563802
77,0.010067755027042
78,0.00598846808602
79,0.011426086241389
80,0.017765396391125
81,0.022390963206645
82,0.023541160740872
83,0.020700530489782
84,0.021431103978485
85,0.022429935374937
86,0.026473146945478
87,0.002448760803218
88,0.002659214056369
89,0.003228489242647
90,0.00436639930993
91,0.003949329101322
92,0.003262417035233
93,0.001646739619811
94,0.002635607179732
95,0.002636353733149
96,0.004045439170106
97,0.004376068916238
98,0.005276335200649
99,0.005936941993448
100,0.004738299528626
101,0.004079081669803
102,0.004919443450366
103,0.005489877634314
104,0.004200201092267
105,0.004560445712582
106,0.004290547237645
107,0.004530622799742
