x,y,x = time,y = Tpot[kg/day]
0,0,,
1,0.00097579,,
2,0.0017444,,
3,0.0024061,,
4,0.0030212,,
5,0.0036128,,
6,0.0041631,,
7,0.0046704,,
8,0.0049561,,
9,0.0052514,,
10,0.00555,,
11,0.0058452,,
12,0.006144,,
13,0.0064386,,
14,0.0067393,,
15,0.0068476,,
16,0.006962,,
17,0.007085,,
18,0.0072053,,
19,0.0073509,,
20,0.0074989,,
21,0.007614,,
22,0.0077049,,
23,0.0078164,,
24,0.0079283,,
