Days	TopIn_[kg/m2/day]	BottomIn_[kg/m2/day]	TranspirationRate_[kg/day]	Evaporation_[kg/m2/day]
1	3.39806395262838	0	0	3.39806395262839
2	5.27357210873709	0	0.002356599076683	5.15636448625589
3	3.3756487825666	0	0.004713198153366	3.14123353760417
4	3.01870794654156	0	0.007069797230049	2.66708507909791
5	2.89884133976958	0	0.009426396306732	2.43001084984471
6	3.43092886344382	0	0.011782995383415	2.84489075103773
7	4.08155350174457	0	0.014139594460098	3.37830776685727
8	3.77441964677466	0	0.015149565492962	3.02094207368112
9	5.97983008332676	0	0.016159536525827	5.176120672027
10	4.25200520213441	0	0.017169507558691	3.3980639526284
11	3.59101435258122	0	0.018179478591555	2.68684126486896
12	3.48319670461869	0	0.019189449624419	2.5287917787002
13	6.06222032152515	0	0.020199420657283	5.05758355740042
14	3.86024698182651	0	0.021209391690147	2.80537837949555
15	5.05633759475626	0	0.022219362723012	3.95123715421907
16	3.60509931435925	0	0.023229333755876	2.44976703561582
17	2.78605897863732	0	0.02423930478874	1.58049486168764
18	2.5597042160482	0	0.025249275821604	1.30390826089228
19	4.30896803056865	0	0.026259246854468	3.0029402372065
20	3.29236583713572	0	0.027269217887332	1.93610620556734
21	2.74991210220912	0	0.028279188920196	1.3434206324345
22	3.66206214279349	0	0.032319073051653	2.05464332019392
23	4.17908846795593	0	0.03635895718311	2.37074229253142
24	3.27366941759957	0	0.040398841314566	1.26439588935011
25	0	0	0.028885171539915	2.37074229253145
26	0	0	0.026812897406722	1.77805671939858
27	0	0	0.02488767498914	5.68978150207546
28	17.9001460065752	0	0.025890611881759	2.76586600795334
29	4.51068542371812	0	0.058914976917076	1.58049486168765
30	4.35130644540395	0	0.061271575993759	1.30390826089226
31	0	0	0.041358313795787	3.0819649802909
32	0	0	0.035788245599608	3.27952683800182
33	13.8779510677227	0	0.044586416226944	1.46195774706106
34	6.207962436646	0	0.079535218838053	2.25220517790487
35	0	0	0.055144418394383	4.89953407123163
36	0	0	0.039714826302261	1.93610620556734
37	0	0	0.031872552818954	3.43757632417058
38	0	0	0.020960951528065	3.12147735183308
39	0	0	0.011651203400551	2.96342786566432
40	26.5739166773036	0	0.003156848620155	2.13366806327829
41	5.96780375186121	0	0.102512059835712	0.869272173928175
42	0	0	0.068930522992979	2.70608378981001
43	0	0	0.057608989624859	2.28627274464855
44	0	0	0.04615949820519	2.39122550593891
45	0	0	0.033558871650699	2.60113102851965
46	0	0	0.020002998040083	2.07636722206781
47	0	0	0.008796504519591	1.54098249014544
48	27.385078714892	0	0.001549981478671	2.01513094865173
49	10.6911539965526	0	0.169675133521179	2.25220517790486
50	0	0	0.114884204988298	2.25220517790486
51	0	0	0.082207751547534	2.25220517790486
