Days	TopIn_[kg/m2/day]	BottomIn_[kg/m2/day]	TranspirationRate_[kg/day]	Evaporation_[kg/m2/day]
1	3.39806395262838	0	0	3.39806395262839
2	5.2618508375941	0	0.002120928937076	5.15636448625589
3	3.35220624028058	0	0.004241857874152	3.14123353760417
4	2.98354413311253	0	0.006362786811228	2.66708507909791
5	2.85195625519754	0	0.008483715748304	2.43001084984471
6	3.37232250772878	0	0.01060464468538	2.84489075103773
7	4.01122587488652	0	0.012725573622456	3.37830776685727
8	3.74427705428598	0	0.014543512711378	3.02094207368112
9	5.98987252520746	0	0.0163614518003	5.176120672027
10	4.30223267838447	0	0.018179390889222	3.3980639526284
11	3.68142686320065	0	0.019997329978144	2.68684126486896
12	3.6137942496075	0	0.021815269067067	2.5287917787002
13	6.23300290088331	0	0.023633208155989	5.05758355740042
14	4.07121459555406	0	0.025451147244911	2.80537837949555
15	5.3074902428532	0	0.027269086333833	3.95123715421907
16	3.89643699682555	0	0.029087025422756	2.44976703561582
17	3.11758169547298	0	0.030904964511678	1.58049486168764
18	2.93141196725323	0	0.0327229036006	1.30390826089228
19	4.72086081614306	0	0.034540842689522	3.0029402372065
20	3.74444365707951	0	0.036358781778444	1.93610620556734
21	3.24217495652227	0	0.038176720867367	1.3434206324345
22	4.13423138943291	0	0.041812599045211	2.05464332019392
23	4.63116410692163	0	0.045448477223056	2.37074229253142
24	3.70565144889154	0	0.0490843554009	1.26439588935011
25	4.99283159722407	0	0.052720233578744	2.37074229253145
26	4.58097976924244	0	0.056356111756589	1.77805671939858
27	8.67353829707055	0	0.059991989934433	5.68978150207546
28	5.93045654809964	0	0.063627868112278	2.76586600795334
29	5.06154445584856	0	0.069990654923506	1.58049486168765
30	5.10141690906782	0	0.076353441734733	1.30390826089226
31	7.19593268248108	0	0.082716228545961	3.0819649802909
32	7.63083883070299	0	0.087488318654382	3.27952683800182
33	6.05061403027322	0	0.092260408762803	1.46195774706106
34	7.07820575162799	0	0.097032498871224	2.25220517790487
35	9.96287893546573	0	0.101804588979644	4.89953407123163
36	7.42139647515424	0	0.110288304727948	1.93610620556734
37	9.34481199911036	0	0.118772020476252	3.43757632417058
38	9.45065843212568	0	0.127255736224556	3.12147735183308
39	9.68818276347521	0	0.13520921973859	2.96342786566432
40	9.25399677860748	0	0.143162703252625	2.13366806327829
41	8.38517470677565	0	0.15111618676666	0.869272173928175
42	10.6175601401758	0	0.159069670280694	2.70608378981001
43	10.6724376760363	0	0.168613850497536	2.28627274464855
44	11.2520790183485	0	0.178158030714378	2.39122550593891
45	11.9366731219513	0	0.187702210931219	2.60113102851965
46	11.8865978965213	0	0.197246391148061	2.07636722206781
47	11.5621858672754	0	0.201488249022213	1.54098249014544
48	12.2473070284581	0	0.205730106896365	2.01513094865173
49	12.6953539603877	0	0.209971964770517	2.25220517790486
50	12.9063266630641	0	0.214213822644668	2.25220517790486
51	13.1172993657405	0	0.21845568051882	2.25220517790486
