Days	TopIn_[kg/m2/day]	BottomIn_[kg/m2/day]	TranspirationRate_[kg/day]	Evaporation_[kg/m2/day]
1	3.39806395262838	0	0	3.39806395262839
2	5.25318110613595	0	0.001946613643268	5.15636448625589
3	3.3348667773643	0	0.003893227286536	3.14123353760417
4	2.95753493873812	0	0.005839840929804	2.66708507909791
5	2.81727732936499	0	0.007786454573072	2.43001084984471
6	3.32897385043809	0	0.00973306821634	2.84489075103773
7	3.95920748613769	0	0.011679681859608	3.37830776685727
8	3.68482746714446	0	0.013348207839552	3.02094207368112
9	5.92299173967326	0	0.015016733819496	5.176120672027
10	4.22792069445758	0	0.01668525979944	3.3980639526284
11	3.59968368088107	0	0.018353785779384	2.68684126486896
12	3.52461986889522	0	0.020022311759328	2.5287917787002
13	6.13639732177834	0	0.021690837739272	5.05758355740042
14	3.9671778180564	0	0.023359363719216	2.80537837949555
15	5.27900794114574	0	0.026696415679105	3.95123715421907
16	3.94350917090835	0	0.030033467638993	2.44976703561582
17	3.24020834534601	0	0.033370519598881	1.58049486168764
18	3.1295930929165	0	0.036707571558769	1.30390826089228
19	4.99459641759656	0	0.040044623518657	3.0029402372065
20	4.09373373432322	0	0.043381675478545	1.93610620556734
21	3.66701950955622	0	0.046718727438433	1.3434206324345
22	4.54421354568148	0	0.050055779398321	2.05464332019392
23	5.02628386638483	0	0.053392831358209	2.37074229253142
24	4.08590881156934	0	0.056729883318097	1.26439588935011
25	0	0	0.060066935277985	2.37074229253145
26	0	0	0.056254476939284	1.77805671939858
27	0	0	0.052788206281317	5.68978150207546
28	23.1621014299122	0	0.043164628528376	2.76586600795334
29	5.45315965689053	0	0.077864545730721	1.58049486168765
30	5.5638395356154	0	0.085651000303793	1.30390826089226
31	0	0	0.093437454876866	3.0819649802909
32	0	0	0.085574186956668	3.27952683800182
33	20.4725267152438	0	0.075313144398693	1.46195774706106
34	8.20642730052931	0	0.119716739060984	2.25220517790487
35	0	0	0.12847650045569	4.89953407123163
36	0	0	0.105373676738573	1.93610620556734
37	0	0	0.090449751668277	3.43757632417058
38	0	0	0.070066514565301	3.12147735183308
39	0	0	0.050820193042016	2.96342786566432
40	42.2872824876375	0	0.033250129989161	2.13366806327829
41	10.018442752595	0	0.183954989288829	0.869272173928175
42	0	0	0.192714750683535	2.70608378981001
43	0	0	0.149361823300942	2.28627274464855
44	0	0	0.112874330444952	2.39122550593891
45	0	0	0.080684802978934	2.60113102851965
46	0	0	0.052211216787878	2.07636722206781
47	0	0	0.031087079397842	1.54098249014544
48	47.2111406532267	0	0.016299990342553	2.01513094865173
49	15.0319990020743	0	0.25695300091138	2.25220517790486
50	0	0	0.266686069127721	2.25220517790486
51	0	0	0.186160488193789	2.25220517790486
