Depth[m]	alpha[1/m]	n[-]	Ksat[m/day]	thetaR[-]	thetaS[-]	BulkDensity[gcm-3]	NutrientConcentration[mg/l]	bufferCapacity[-]	FreundlichK	FreundlichN[-]
0	0.1	2.5	0.208844032371402	0.03	0.345	1.286	0.5	-1	124	0.4
0.2	0.1	2.5	0.208844032371402	0.03	0.345	1.286	0.035	-1	124	0.4
