x,y,x = time,y = Tpot[kg/day]
0,0,,
1,0.0040728,,
2,0.0066684,,
3,0.0084791,,
4,0.0096071,,
5,0.010385,,
6,0.010951,,
7,0.011432,,
8,0.011893,,
9,0.012307,,
10,0.012503,,
11,0.012714,,
12,0.012929,,
13,0.013156,,
14,0.013399,,
15,0.013571,,
