0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0,0.0
0.0,0.0
2.4546297473138974e-23,4.5336118857193744e-08
6.666193730917608e-23,9.203878131877816e-08
1.1032885736386895e-22,1.4000373117712504e-07
1.5552083753100437e-22,1.8923096995611698e-07
2.0225029732764435e-22,2.3972049673672075e-07
2.50529690212996e-22,2.914723106011855e-07
3.00371489934544e-22,3.4448641063302916e-07
3.517882108743813e-22,3.987627959170296e-07
4.047924014467003e-22,4.543014655392648e-07
4.593966416778767e-22,5.111024185867881e-07
5.156135434815052e-22,5.691656541477498e-07
5.734557510666959e-22,6.284911713112048e-07
6.32935941474253e-22,6.890789691669693e-07
6.940668252052413e-22,7.509290468054769e-07
7.568611469211585e-22,8.140414033176216e-07
8.213316861980238e-22,8.784160377945963e-07
8.874912583195083e-22,9.440529493277346e-07
9.553527150964982e-22,1.0109521370083459e-06
1.024928945702616e-21,1.0791135999275596e-06
1.0962328775169123e-21,1.1485373371761571e-06
1.1692774769665497e-21,1.2192233478444313e-06
1.2440757503635412e-21,1.29117163102202e-06
1.3206407447308156e-21,1.364382185797772e-06
1.3989855486137935e-21,1.438855011259599e-06
1.4791232928744492e-21,1.5145901064943386e-06
1.561067081570924e-21,1.591587470587635e-06
1.644830130989614e-21,1.669847102623804e-06
1.730425702713829e-21,1.7493690016857172e-06
1.8178671036071225e-21,1.8301531668546802e-06
1.9071676864954727e-21,1.9121995972103392e-06
1.9983408508270585e-21,1.9955082918305695e-06
2.0914000433084397e-21,2.080079249791386e-06
2.1863587585175208e-21,2.165912470166833e-06
2.2832305394937774e-21,2.253007952028913e-06
2.3820289783064155e-21,2.341365694447506e-06
2.4827677166011642e-21,2.430985696490278e-06
2.585468509996021e-21,2.521867919675714e-06
2.6894551870633574e-21,2.612753118627747e-06
2.7942678445394756e-21,2.703638262329846e-06
2.899908214488331e-21,2.794523350774133e-06
3.0063791231977057e-21,2.8854083838818337e-06
3.1136833975646792e-21,2.9762933615748357e-06
3.2218238655328383e-21,3.06717828377561e-06
3.3308033564846752e-21,3.1580631504071465e-06
3.440624701598427e-21,3.2489479613928883e-06
3.551290734172609e-21,3.339832716656676e-06
