psi err 

26, ot 2, errPsi(0) 0.0482484, psiXyl -3023.68, psiXyl_old -2884.85 size 172, errRatio flux 0.0605607, outputFlux -0.000347337, outputFlux_old -0.000326302, errFlux(5) 0.0740599, sum(errFlux(7)) 1.78639
27, ot 2, errPsi(0) 0.0482484, psiXyl -3014.3, psiXyl_old -2876.07 size 172, errRatio flux 0.0606342, outputFlux -0.000345419, outputFlux_old -0.000324475, errFlux(5) 0.0740599, sum(errFlux(7)) 1.85093
28, ot 2, errPsi(0) 0.0482484, psiXyl -3004.68, psiXyl_old -2867.05 size 172, errRatio flux 0.0676927, outputFlux -0.0205531, outputFlux_old -0.0191618, errFlux(5) 0.0740599, sum(errFlux(7)) 1.92354
29, ot 2, errPsi(0) 0.0482484, psiXyl -2999.36, psiXyl_old -2862.02 size 172, errRatio flux 0.0601757, outputFlux -0.000349559, outputFlux_old -0.000328524, errFlux(5) 0.0740599, sum(errFlux(7)) 1.98757
30, ot 2, errPsi(0) 0.0482484, psiXyl -3013.99, psiXyl_old -2875.76 size 172, errRatio flux 0.0601661, outputFlux -0.000348106, outputFlux_old -0.000327162, errFlux(5) 0.0740599, sum(errFlux(7)) 2.05159
31, ot 2, errPsi(0) 0.0482484, psiXyl -3004.47, psiXyl_old -2866.84 size 172, errRatio flux 0.0689779, outputFlux -0.0201702, outputFlux_old -0.0187789, errFlux(5) 0.0740884, sum(errFlux(7)) 2.12568
32, ot 2, errPsi(0) 0.0482484, psiXyl -2999.3, psiXyl_old -2861.95 size 172, errRatio flux 0.0602008, outputFlux -0.000705153, outputFlux_old -0.000662702, errFlux(5) 0.0740884, sum(errFlux(7)) 2.18973
33, ot 2, errPsi(0) 0.0482484, psiXyl -3018.45, psiXyl_old -2879.91 size 172, errRatio flux 0.0606648, outputFlux -0.000346016, outputFlux_old -0.000325025, errFlux(5) 0.0740884, sum(errFlux(7)) 2.25432
34, ot 2, errPsi(0) 0.0482484, psiXyl -3008.84, psiXyl_old -2870.9 size 172, errRatio flux 0.0606276, outputFlux -0.000344734, outputFlux_old -0.000323833, errFlux(5) 0.0740884, sum(errFlux(7)) 2.31886
35, ot 2, errPsi(0) 0.0482484, psiXyl -2999.33, psiXyl_old -2861.98 size 172, errRatio flux 0.0688911, outputFlux -0.0201533, outputFlux_old -0.0187649, errFlux(5) 0.0740884, sum(errFlux(7)) 2.39284
36, ot 2, errPsi(0) 0.0482484, psiXyl -2994.18, psiXyl_old -2857.13 size 172, errRatio flux 0.0606883, outputFlux -0.000345882, outputFlux_old -0.000324891, errFlux(5) 0.0740884, sum(errFlux(7)) 2.45745
37, ot 2, errPsi(0) 0.0482484, psiXyl -3008.75, psiXyl_old -2870.81 size 172, errRatio flux 0.0606859, outputFlux -0.000344402, outputFlux_old -0.000323502, errFlux(5) 0.0740884, sum(errFlux(7)) 2.52206
38, ot 2, errPsi(0) 0.0482484, psiXyl -2999.21, psiXyl_old -2861.86 size 172, errRatio flux 0.0689905, outputFlux -0.0201243, outputFlux_old -0.0187359, errFlux(5) 0.0741029, sum(errFlux(7)) 2.59616
39, ot 2, errPsi(0) 0.0482484, psiXyl -2993.97, psiXyl_old -2856.92 size 172, errRatio flux 0.0602947, outputFlux -0.000702685, outputFlux_old -0.000660316, errFlux(5) 0.0741029, sum(errFlux(7)) 2.66033
40, ot 2, errPsi(0) 0.0482484, psiXyl -3013.84, psiXyl_old -2875.55 size 172, errRatio flux 0.0607186, outputFlux -0.000345095, outputFlux_old -0.000324142, errFlux(5) 0.0741029, sum(errFlux(7)) 2.72497
41, ot 2, errPsi(0) 0.0482484, psiXyl -3004.01, psiXyl_old -2866.31 size 172, errRatio flux 0.0670991, outputFlux -0.0207444, outputFlux_old -0.0193524, errFlux(5) 0.0741029, sum(errFlux(7)) 2.7969
42, ot 2, errPsi(0) 0.0482484, psiXyl -2998.67, psiXyl_old -2861.27 size 172, errRatio flux 0.0606055, outputFlux -0.000345739, outputFlux_old -0.000324785, errFlux(5) 0.0741029, sum(errFlux(7)) 2.86141
43, ot 2, errPsi(0) 0.0482484, psiXyl -3004.77, psiXyl_old -2867.08 size 172, errRatio flux 0.0690136, outputFlux -0.0201689, outputFlux_old -0.018777, errFlux(5) 0.0741296, sum(errFlux(7)) 2.93554
44, ot 2, errPsi(0) 0.0482484, psiXyl -2999.56, psiXyl_old -2862.16 size 172, errRatio flux 0.0602994, outputFlux -0.00070147, outputFlux_old -0.000659172, errFlux(5) 0.0741296, sum(errFlux(7)) 2.99971
45, ot 2, errPsi(0) 0.0482484, psiXyl -3009.85, psiXyl_old -2871.76 size 172, errRatio flux 0.0611164, outputFlux -0.000342333, outputFlux_old -0.000321411, errFlux(5) 0.0741296, sum(errFlux(7)) 3.0648
46, ot 2, errPsi(0) 0.0482484, psiXyl -3000.16, psiXyl_old -2862.67 size 172, errRatio flux 0.0679007, outputFlux -0.0204686, outputFlux_old -0.0190788, errFlux(5) 0.0741296, sum(errFlux(7)) 3.13765
47, ot 2, errPsi(0) 0.0482484, psiXyl -2994.88, psiXyl_old -2857.68 size 172, errRatio flux 0.0608292, outputFlux -0.00034395, outputFlux_old -0.000323028, errFlux(5) 0.0741296, sum(errFlux(7)) 3.20242
48, ot 2, errPsi(0) 0.0482484, psiXyl -3000.13, psiXyl_old -2862.63 size 172, errRatio flux 0.0677047, outputFlux -0.0205279, outputFlux_old -0.0191381, errFlux(5) 0.0741296, sum(errFlux(7)) 3.27504
49, ot 2, errPsi(0) 0.0482484, psiXyl -2994.88, psiXyl_old -2857.68 size 172, errRatio flux 0.0603583, outputFlux -0.000699835, outputFlux_old -0.000657594, errFlux(5) 0.0741296, sum(errFlux(7)) 3.33928
50, ot 2, errPsi(0) 0.0482484, psiXyl -3006.46, psiXyl_old -2868.54 size 172, errRatio flux 0.0610276, outputFlux -0.000342417, outputFlux_old -0.000321521, errFlux(5) 0.0741296, sum(errFlux(7)) 3.40427
51, ot 2, errPsi(0) 0.0482484, psiXyl -2996.96, psiXyl_old -2859.63 size 172, errRatio flux 0.068379, outputFlux -0.0203009, outputFlux_old -0.0189128, errFlux(5) 0.0741296, sum(errFlux(7)) 3.47767
52, ot 2, errPsi(0) 0.0482484, psiXyl -2991.71, psiXyl_old -2854.68 size 172, errRatio flux 0.0608435, outputFlux -0.000343454, outputFlux_old -0.000322557, errFlux(5) 0.0741296, sum(errFlux(7)) 3.54245
53, ot 2, errPsi(0) 0.0482484, psiXyl -2997.34, psiXyl_old -2860.01 size 172, errRatio flux 0.0689341, outputFlux -0.0201374, outputFlux_old -0.0187493, errFlux(5) 0.0741296, sum(errFlux(7)) 3.61649
54, ot 2, errPsi(0) 0.0482484, psiXyl -2992.42, psiXyl_old -2855.39 size 172, errRatio flux 0.0603705, outputFlux -0.000698952, outputFlux_old -0.000656755, errFlux(5) 0.0741296, sum(errFlux(7)) 3.68074
55, ot 2, errPsi(0) 0.0482484, psiXyl -3003.72, psiXyl_old -2865.93 size 172, errRatio flux 0.0684945, outputFlux -0.0203355, outputFlux_old -0.0189426, errFlux(5) 0.0741296, sum(errFlux(7)) 3.75427
56, ot 2, errPsi(0) 0.0482484, psiXyl -2998.6, psiXyl_old -2861.11 size 172, errRatio flux 0.0683513, outputFlux -0.0203781, outputFlux_old -0.0189852, errFlux(5) 0.0741296, sum(errFlux(7)) 3.82764
57, ot 2, errPsi(0) 0.0482484, psiXyl -2998.64, psiXyl_old -2861.14 size 172, errRatio flux 0.0603598, outputFlux -0.00069854, outputFlux_old -0.000656376, errFlux(5) 0.0741296, sum(errFlux(7)) 3.89188
58, ot 2, errPsi(0) 0.0482484, psiXyl -3001.49, psiXyl_old -2863.79 size 172, errRatio flux 0.0690495, outputFlux -0.0201596, outputFlux_old -0.0187676, errFlux(5) 0.0741709, sum(errFlux(7)) 3.96605
