% Model:              Onedradial_solutes_zeroconc.mph
% Version:            COMSOL 5.5.0.306
% Date:               Apr 17 2020, 17:59
% Dimension:          1
% Nodes:              1741
% Expressions:        49
% Description:        Liniengraph
% R                       Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height                   Height
0                         0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0                        0
3.333333333333348E-4      0.0032980934337358187    3.000306556022462E-4     2.343187692517044E-4     2.086971335600979E-4     1.9468228224105895E-4    1.8565840631689084E-4    1.7771050382665022E-4    1.7102700210482985E-4    1.6710072844730426E-4    1.6464452249890827E-4    1.6268387557796406E-4    1.6099620991562254E-4    1.598180421004081E-4     1.5934928942065767E-4    1.5955209010153645E-4    1.5989458116529384E-4    1.603927699175075E-4     1.6124126428237854E-4    1.6260057311406114E-4    1.644583137167435E-4     1.66722820731882E-4      1.6941968174743303E-4    1.7275843178691483E-4    1.7702476320005875E-4    1.829253573556985E-4     1.911167599304684E-4     2.0453643643315208E-4    2.459065996871678E-4     2.5766761493717567E-4    2.5924220633167464E-4    2.5799624678710857E-4    2.5536068416663653E-4    2.522435106319038E-4     2.4900259141765325E-4    2.4577432811028594E-4    2.4265367569416233E-4    2.3967842908084882E-4    2.3684454914882372E-4    2.3413554739118496E-4    2.315645073231264E-4     2.291266646375247E-4     2.2681506348288963E-4    2.2461906000325644E-4    2.225336186907293E-4     2.2055094201964303E-4    2.1866347004747842E-4    2.1686393105816538E-4    2.1514509769746896E-4    2.1350139413560976E-4
6.666666666666661E-4      0.0065961868674716375    6.000613112044924E-4     4.686375385034088E-4     4.173942671201958E-4     3.893645644821179E-4     3.7131681263378167E-4    3.5542100765330044E-4    3.420540042096597E-4     3.342014568946085E-4     3.2928904499781653E-4    3.253677511559281E-4     3.219924198312451E-4     3.196360842008162E-4     3.1869857884131534E-4    3.191041802030729E-4     3.197891623305877E-4     3.20785539835015E-4      3.224825285647571E-4     3.252011462281223E-4     3.28916627433487E-4      3.33445641463764E-4      3.3883936349486606E-4    3.4551686357382966E-4    3.540495264001175E-4     3.65850714711397E-4      3.822335198609368E-4     4.0907287286630415E-4    4.918131993743356E-4     5.153352298743513E-4     5.184844126633493E-4     5.159924935742171E-4     5.107213683332731E-4     5.044870212638076E-4     4.980051828353065E-4     4.915486562205719E-4     4.8530735138832467E-4    4.7935685816169764E-4    4.7368909829764743E-4    4.682710947823699E-4     4.631290146462528E-4     4.582533292750494E-4     4.5363012696577926E-4    4.492381200065129E-4     4.450672373814586E-4     4.4110188403928606E-4    4.3732694009495683E-4    4.3372786211633076E-4    4.302901953949379E-4     4.270027882712195E-4
0.0010000000000000009     0.009894280301207457     9.000919668067387E-4     7.029563077551132E-4     6.260914006802937E-4     5.840468467231769E-4     5.569752189506725E-4     5.331315114799507E-4     5.130810063144896E-4     5.013021853419128E-4     4.939335674967249E-4     4.880516267338922E-4     4.8298862974686767E-4    4.794541263012243E-4     4.7804786826197306E-4    4.7865627030460936E-4    4.796837434958815E-4     4.8117830975252253E-4    4.8372379284713563E-4    4.878017193421834E-4     4.933749411502305E-4     5.001684621956461E-4     5.082590452422991E-4     5.182752953607446E-4     5.310742896001763E-4     5.487760720670955E-4     5.733502797914052E-4     6.136093092994563E-4     7.377197990615036E-4     7.730028448115271E-4     7.777266189950239E-4     7.739887403613258E-4     7.660820524999097E-4     7.567305318957114E-4     7.470077742529599E-4     7.373229843308579E-4     7.27961027082487E-4      7.190352872425465E-4     7.105336474464712E-4     7.024066421735549E-4     6.946935219693792E-4     6.873799939125741E-4     6.804451904486689E-4     6.738571800097694E-4     6.676008560721879E-4     6.616528260589291E-4     6.559904101424353E-4     6.505917931744962E-4     6.454352930924069E-4     6.405041824068293E-4
0.0013333333333333357     0.009938245847400287     0.0011838000017943926    9.248880368110841E-4     8.237915418387549E-4     7.68422120488793E-4      7.327518018843926E-4     7.013405807876654E-4     6.749093857612502E-4     6.593231774198908E-4     6.495178701642332E-4     6.416607436216337E-4     6.348694560478198E-4     6.300630801309776E-4     6.280267817095288E-4     6.286143508466765E-4     6.297260781921894E-4     6.314092773878325E-4     6.3442136602967E-4       6.393865104984157E-4     6.462231860480633E-4     6.54501562282535E-4      6.642751578037752E-4     6.764464647770034E-4     6.923332822784554E-4     7.137256828968884E-4     7.422603279712767E-4     7.87466436051312E-4      9.090583304784595E-4     9.542947087033262E-4     9.657630905353588E-4     9.660989488930023E-4     9.606685153394251E-4     9.527111825864937E-4     9.436725097170244E-4     9.341908960727329E-4     9.247224162723488E-4     9.154801520468753E-4     9.065051986755578E-4     8.977816460708017E-4     8.893926822881664E-4     8.813493871153154E-4     8.736486201066908E-4     8.662703185283585E-4     8.59210665784415E-4      8.5245603937068E-4       8.459855935033329E-4     8.397837257480148E-4     8.338290469177402E-4     8.28108788410007E-4
0.001666666666666667      0.009982211393593116     0.0014675080367820461    0.001146819765867055     0.001021491682997216     9.527973942544092E-4     9.085283848181125E-4     8.6954965009538E-4       8.367377652080108E-4     8.173441694978688E-4     8.051021728317415E-4     7.952698605093752E-4     7.867502823487719E-4     7.80672033960731E-4      7.780056951570844E-4     7.785724313887436E-4     7.797684128884973E-4     7.816402450231424E-4     7.851189392122043E-4     7.90971301654648E-4      7.990714309458959E-4     8.088346623694239E-4     8.202912703652512E-4     8.346176341932622E-4     8.535922749567346E-4     8.786752937266811E-4     9.111703761511481E-4     9.613235628031678E-4     0.0010803968618954155    0.0011355865725951252    0.0011537995620756936    0.0011582091574246789    0.0011552549781789405    0.0011486918332772758    0.001140337245181089     0.0011310588078146078    0.0011214838054622105    0.001111925016851204     0.0011024767499046445    0.0010931566499680484    0.0010840918426069535    0.0010753187803180567    0.0010668520497647126    0.0010586834570469475    0.0010508204754966421    0.0010432592526824307    0.0010359807768642304    0.0010289756583215333    0.0010222228007430736    0.0010157133944131847
0.0020000000000000018     0.010026176939785946     0.0017512160717696999    0.0013687514949230258    0.0012191918241556772    0.0011371726680200255    0.0010843049677518326    0.0010377587194030948    9.985661446547714E-4     9.753651615758467E-4     9.606864754992499E-4     9.488789773971167E-4     9.386311086497241E-4     9.312809877904843E-4     9.279846086046401E-4     9.285305119308107E-4     9.298107475848051E-4     9.318712126584524E-4     9.358165123947386E-4     9.425560928108803E-4     9.519196758437285E-4     9.631677624563128E-4     9.763073829267274E-4     9.92788803609521E-4      0.0010148512676350138    0.001043624904556474     0.0010800804243310195    0.0011351806895550237    0.0012517353933123715    0.0013168784364869244    0.0013418360336160285    0.0013503193659563553    0.001349841441018456     0.001344672483968058     0.0013370019806451536    0.0013279267195564829    0.0013182451946520725    0.0013083698816555326    0.0012984483011337312    0.0012885316538652953    0.0012787910029257409    0.0012692881735207981    0.0012600554794227345    0.0012510965955655365    0.0012424302852088692    0.0012340624659941816    0.0012259759602251282    0.0012181675908950519    0.001210616554568407     0.0012033180004163626
0.0023333333333333366     0.010015289111543844     0.0020189225919551787    0.0015789957483750248    0.0014066316242452703    0.0013119686097152325    0.0012509283787519273    0.0011972188972556883    0.0011519738970421774    0.0011250993266755933    0.0011080153316162238    0.0010942336305801096    0.0010822413945066867    0.001073562999541945     0.0010695202296995797    0.0010698664202490112    0.0010710165554953664    0.0010730290449983567    0.0010771545926703684    0.001084408007939004     0.0010945608436035374    0.001106739464600175     0.0011209324475181174    0.0011387736442151294    0.001162776003155525     0.0011938745940889945    0.0012319944935807684    0.0012887035990207687    0.0013995766800040622    0.0014664413274651875    0.0014955627330835621    0.0015075805677110966    0.001510044691456701     0.0015071527750656739    0.0015012045958386327    0.0014934179146040704    0.0014846964983729416    0.001475527757565375     0.0014661085928744815    0.0014565243778960676    0.0014469837728060362    0.0014375737640941447    0.0014283466843823932    0.0014193218504806933    0.0014105321807258554    0.0014019965749611394    0.0013937028436343277    0.0013856570297939874    0.0013778412805286774    0.0013702573966525712
0.002666666666666668      0.010004401283301741     0.0022866291121406575    0.0017892400018270237    0.0015940714243348633    0.0014867645514104392    0.0014175517897520218    0.0013566790751082817    0.0013053816494295832    0.0012748334917753398    0.0012553441877331977    0.0012395882837631027    0.0012258516803636491    0.0012158450112934058    0.0012110558507945192    0.0012112023285672114    0.0012122223634059275    0.0012141868773382608    0.001218492672945998     0.0012262599230671277    0.001237202011363346     0.001250311166744037     0.0012655575121095076    0.0012847584848207376    0.0013107007386760363    0.0013441242836215149    0.001383908562830517     0.0014422265084865135    0.0015474179666957527    0.0016160042184434505    0.0016492894325510954    0.0016648417694658379    0.0016702479418949459    0.0016696330661632895    0.0016654072110321113    0.0016589091096516576    0.0016511478020938104    0.0016426856334752172    0.0016337688846152316    0.0016245171019268396    0.0016151765426863313    0.0016058593546674912    0.0015966378893420518    0.00158754710539585      0.0015786340762428417    0.001569930683928097     0.001561429727043527     0.0015531464686929226    0.001545066006488948     0.0015371967928887798
0.0030000000000000027     0.009993513455059638     0.0025543356323261364    0.0019994842552790225    0.0017815112244244564    0.001661560493105646     0.0015841752007521165    0.0015161392529608752    0.001458789401816989     0.0014245676568750865    0.0014026730438501717    0.0013849429369460955    0.0013694619662206118    0.0013581270230448666    0.001352591471889459     0.0013525382368854118    0.0013534281713164888    0.001355344709678165     0.0013598307532216277    0.0013681118381952515    0.0013798431791231548    0.001393882868887899     0.0014101825767008976    0.001430743325426346     0.0014586254741965475    0.0014943739731540354    0.0015358226320802658    0.0015957494179522586    0.0016952592533874431    0.0017655671094217134    0.0018030161320186288    0.0018221029712205791    0.0018304511923331907    0.0018321133572609051    0.0018296098262255902    0.0018244003046992451    0.0018175991058146793    0.0018098435093850595    0.0018014291763559817    0.0017925098259576116    0.0017833693125666266    0.0017741449452408377    0.0017649290943017103    0.0017557723603110066    0.001746735971759828     0.0017378647928950547    0.0017291566104527263    0.001720635907591858     0.0017122907324492185    0.0017041361891249884
