0.0,nan,3.637978807091713e-12,1.9584397018617058e-12
0.0,nan,1.310207210281078e-06,7.053262188818728e-07
0.0,nan,1.3102077218718478e-06,7.053264942874596e-07
0.0,nan,1.31020760818501e-06,7.053264330862181e-07
0.0,nan,1.3102072955462063e-06,7.053262647828038e-07
0.0,nan,1.3102063860515045e-06,7.053257751728714e-07
0.0,nan,1.3102074376547534e-06,7.053263412843558e-07
0.0,nan,1.3102078924021043e-06,7.05326586089322e-07
0.0,nan,1.3102089724270627e-06,7.053271675011167e-07
0.0,nan,1.3102068692205648e-06,7.053260352781481e-07
0.0,nan,1.3102068976422743e-06,7.053260505784585e-07
0.0,nan,1.310207210281078e-06,7.053262188818728e-07
0.0,nan,1.3102065565817611e-06,7.053258669747338e-07
0.0,nan,1.3102065281600517e-06,7.053258516744234e-07
0.0,nan,1.3102074660764629e-06,7.053263565846661e-07
0.0,nan,1.3102089724270627e-06,7.053271675011167e-07
0.0,nan,1.3102066418468894e-06,7.05325912875665e-07
0.0,nan,1.310205817617316e-06,7.053254691666637e-07
0.0,nan,1.31020561866535e-06,7.05325362064491e-07
0.0,nan,1.3102067839554365e-06,7.053259893772169e-07
0.0,nan,1.3102059881475725e-06,7.053255609685261e-07
0.0,nan,1.3102065281600517e-06,7.053258516744234e-07
0.0,nan,1.3102063292080857e-06,7.053257445722507e-07
0.0,nan,1.3102062439429574e-06,7.053256986713196e-07
0.0,nan,1.3102067271120177e-06,7.053259587765961e-07
0.0,nan,1.310205959725863e-06,7.053255456682157e-07
0.0,nan,1.3102072671244969e-06,7.053262494824934e-07
0.0,nan,1.3102059313041536e-06,7.053255303679053e-07
0.0,nan,1.3102066418468894e-06,7.05325912875665e-07
0.0,nan,1.3102066702685988e-06,7.053259281759754e-07
0.0,nan,1.3102065281600517e-06,7.053258516744234e-07
0.0,nan,1.3102073808113346e-06,7.05326310683735e-07
0.0,nan,1.3102063292080857e-06,7.053257445722507e-07
0.0,nan,1.3102075513415912e-06,7.053264024855973e-07
0.0,nan,1.3102064428949234e-06,7.053258057734922e-07
0.0,nan,1.3102065281600517e-06,7.053258516744234e-07
3.1300514379006567e-21,6.886607502741106e-12,1.310206016569282e-06,7.053255762688364e-07
4.545128264517206e-08,49.31506851578222,1.310206414473214e-06,7.053257904731818e-07
9.216510094635002e-08,65.76576579274014,1.3102057323521876e-06,7.053254232657326e-07
1.4014145487713456e-07,74.0000000249056,1.3102064713166328e-06,7.053258210738026e-07
1.8938034443754424e-07,78.94736844335583,1.3102068692205648e-06,7.053260352781481e-07
2.398817696275904e-07,82.25108227108015,1.3102059028824442e-06,7.053255150675949e-07
2.916457304472853e-07,84.61538463345435,1.3102065281600517e-06,7.053258516744234e-07
3.4467222689663806e-07,86.39240507975914,1.3102068976422743e-06,7.053260505784585e-07
3.989612589756621e-07,87.77777779290666,1.3102073239679157e-06,7.053262800831142e-07
4.545128266843645e-07,88.8888889028867,1.310206812377146e-06,7.053260046775273e-07
5.113269300227571e-07,89.80044347201225,1.3102065281600517e-06,7.053258516744234e-07
5.694035689908486e-07,90.56224900818326,1.3102066986903083e-06,7.053259434762857e-07
6.287427435886446e-07,91.20879122026523,1.310206158677829e-06,7.053256527703884e-07
6.893444538161563e-07,91.76470589318993,1.3102068407988554e-06,7.053260199778377e-07
7.512086996733909e-07,92.24806202577697,1.310206812377146e-06,7.053260046775273e-07
8.143354811603555e-07,92.6724138028739,1.3102067271120177e-06,7.053259587765961e-07
8.787247982770562e-07,93.04812835156554,1.3102066702685988e-06,7.053259281759754e-07
9.443766510235026e-07,93.38327092027355,1.3102072671244969e-06,7.053262494824934e-07
1.0112910393996993e-06,93.68421053485957,1.3102070965942403e-06,7.053261576806312e-07
1.0794679634056504e-06,93.9560439642515,1.3102070681725309e-06,7.053261423803208e-07
1.1489074230413664e-06,94.20289855862445,1.3102070397508214e-06,7.053261270800104e-07
1.219609418306842e-06,94.42815250028565,1.3102066418468894e-06,7.05325912875665e-07
1.2915739492020897e-06,94.63459760217582,1.3102067839554365e-06,7.053259893772169e-07
1.364801015727113e-06,94.8245614106236,1.310207011329112e-06,7.053261117797e-07
1.4392906178819153e-06,95.00000000689077,1.31020661342518e-06,7.053258975753545e-07
1.5150427556665053e-06,95.1625693960557,1.3102064428949234e-06,7.053258057734922e-07
1.5920574290808783e-06,95.31368103445418,1.3102066702685988e-06,7.053259281759754e-07
1.670334638125043e-06,95.45454546085064,1.3102069260639837e-06,7.053260658787688e-07
1.7498743827990064e-06,95.58620690268596,1.3102071534376591e-06,7.053261882812519e-07
1.8306766631027746e-06,95.70957096306924,1.3102069829074026e-06,7.053260964793896e-07
1.912741479036346e-06,95.82542695079368,1.3102066702685988e-06,7.053259281759754e-07
1.99606883059972e-06,95.93446602509673,1.3102065565817611e-06,7.053258669747338e-07
2.080658717792903e-06,96.03729604284015,1.310207210281078e-06,7.053262188818728e-07
2.166511140615906e-06,96.13445378692876,1.3102072671244969e-06,7.053262494824934e-07
2.2536260990687226e-06,96.22641509963437,1.3102071818593686e-06,7.053262035815623e-07
2.3420035931513627e-06,96.31360332812851,1.310207409233044e-06,7.053263259840454e-07
2.431643622863826e-06,96.39639640146609,1.310207409233044e-06,7.053263259840454e-07
2.5225461882061227e-06,96.52173913533662,1.3102071818593686e-06,7.053262035815623e-07
2.6134487535492454e-06,96.63865546693062,1.3102066986903083e-06,7.053259434762857e-07
2.704351318892462e-06,96.74796748427416,1.3102068407988554e-06,7.053260199778377e-07
2.7952538842357697e-06,96.85039370524922,1.3102067555337271e-06,7.053259740769065e-07
2.8861564495791726e-06,96.94656488982852,1.3102066418468894e-06,7.05325912875665e-07
2.9770590149226696e-06,97.03703704124727,1.3102069829074026e-06,7.053260964793896e-07
3.0679615802662594e-06,97.12230216236827,1.3102063860515045e-06,7.053257751728714e-07
3.15886414560994e-06,97.20279720678296,1.3102068976422743e-06,7.053260505784585e-07
3.2497667109537184e-06,97.27891156850822,1.3102067555337271e-06,7.053259740769065e-07
3.3406692762975936e-06,97.3509933812677,1.3102068407988554e-06,7.053260199778377e-07
3.4315718416415645e-06,97.41935484240074,1.3102064997383422e-06,7.05325836374113e-07
3.522474406985631e-06,97.48427673316213,1.3102072955462063e-06,7.053262647828038e-07
3.6133769723298002e-06,97.54601227345658,1.3102069544856931e-06,7.053260811790792e-07
3.7042795376740646e-06,97.60479042259908,1.3102069829074026e-06,7.053260964793896e-07
3.7951821030184247e-06,97.66081871681081,1.3102067271120177e-06,7.053259587765961e-07
3.8860846683628865e-06,97.71428571757276,1.3102069544856931e-06,7.053260811790792e-07
3.9769872337074495e-06,97.7653631317084,1.3102066986903083e-06,7.053259434762857e-07
4.067889799052109e-06,97.81420765342273,1.3102068976422743e-06,7.053260505784585e-07
4.158792364396863e-06,97.86096256992994,1.3102065850034705e-06,7.053258822750441e-07
4.2496949297417254e-06,97.90575916532684,1.3102069829074026e-06,7.053260964793896e-07
4.340597495086682e-06,97.94871795168174,1.3102066418468894e-06,7.05325912875665e-07
4.431500060431742e-06,97.98994975165046,1.3102065281600517e-06,7.053258516744234e-07
4.522402625776913e-06,98.02955665309821,1.310206812377146e-06,7.053260046775273e-07
4.613305191122171e-06,98.06763285304065,1.3102072387027874e-06,7.05326234182183e-07
4.704207756467538e-06,98.10426540559189,1.310206812377146e-06,7.053260046775273e-07
4.795110321813002e-06,98.13953488642024,1.3102062439429574e-06,7.053256986713196e-07
4.886012887158569e-06,98.17351598438722,1.3102075513415912e-06,7.053264024855973e-07
4.9769154525042305e-06,98.20627802951232,1.3102069544856931e-06,7.053260811790792e-07
5.0678180178500006e-06,98.23788546511756,1.3102071250159497e-06,7.053261729809415e-07
5.158720583195873e-06,98.26839827091824,1.3102069544856931e-06,7.053260811790792e-07
5.249623148541847e-06,98.29787234290441,1.3102068407988554e-06,7.053260199778377e-07
5.340525713887925e-06,98.32635983507512,1.3102070965942403e-06,7.053261576806312e-07
5.431428279234106e-06,98.35390946742125,1.3102065565817611e-06,7.053258669747338e-07
5.522330844580383e-06,98.38056680398286,1.3102072671244969e-06,7.053262494824934e-07
5.613233409926769e-06,98.40637450431939,1.3102066418468894e-06,7.05325912875665e-07
5.70413597520146e-06,97.665369653162,1.31020661342518e-06,7.053258975753545e-07
5.8404898231001035e-06,97.69799366746956,1.3102066702685988e-06,7.053259281759754e-07
5.978106206640369e-06,97.72961816624071,1.3102068976422743e-06,7.053260505784585e-07
6.116985125809523e-06,97.76029056000958,1.3102073808113346e-06,7.05326310683735e-07
6.257126580607565e-06,97.79005525165387,1.3102069544856931e-06,7.053260811790792e-07
6.3985305710344826e-06,97.81895387287379,1.3102070397508214e-06,7.053261270800104e-07
6.541197097090294e-06,97.84702549864764,1.3102074944981723e-06,7.053263718849765e-07
6.685126158774994e-06,97.87430684201888,1.3102071250159497e-06,7.053261729809415e-07
6.830317756088573e-06,97.90083243128986,1.3102066702685988e-06,7.053259281759754e-07
6.976771889031047e-06,97.92663477145061,1.3102071534376591e-06,7.053261882812519e-07
7.124488557602395e-06,97.95174449145742,1.3102063292080857e-06,7.053257445722507e-07
7.273467761802635e-06,97.97619047878894,1.3102071818593686e-06,7.053262035815623e-07
7.423709501631764e-06,98.00000000254565,1.3102065850034705e-06,7.053258822750441e-07
7.5752137770897984e-06,98.02319882621647,1.3102075229198817e-06,7.053263871852869e-07
7.727980588176692e-06,98.04581131111165,1.3102068407988554e-06,7.053260199778377e-07
7.88200993489249e-06,98.06786051135266,1.3102074376547534e-06,7.053263412843558e-07
8.037301817237177e-06,98.08936826121327,1.3102072955462063e-06,7.053262647828038e-07
8.193856235210754e-06,98.11035525552214,1.3102069260639837e-06,7.053260658787688e-07
8.351673188813215e-06,98.13084112376286,1.3102067839554365e-06,7.053259893772169e-07
8.510752678044567e-06,98.15084449844112,1.3102065850034705e-06,7.053258822750441e-07
8.671094702904814e-06,98.17038307823091,1.3102068976422743e-06,7.053260505784585e-07
8.832699263393953e-06,98.18947368635997,1.3102069829074026e-06,7.053260964793896e-07
8.99556635951196e-06,98.20813232464889,1.3102071534376591e-06,7.053261882812519e-07
