% Model:              rhizosphere_equilibrium.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jan 30 2020, 13:50
% Dimension:          1
% Nodes:              1981
% Expressions:        15
% Description:        Abhängige Variable c
% R                       c (g/cm^3) @ t=0         c (g/cm^3) @ t=86400     c (g/cm^3) @ t=1.728E5   c (g/cm^3) @ t=2.592E5   c (g/cm^3) @ t=3.456E5   c (g/cm^3) @ t=4.32E5    c (g/cm^3) @ t=5.184E5   c (g/cm^3) @ t=6.048E5   c (g/cm^3) @ t=6.912E5   c (g/cm^3) @ t=7.776E5   c (g/cm^3) @ t=8.64E5    c (g/cm^3) @ t=9.504E5   c (g/cm^3) @ t=1.0368E6  c (g/cm^3) @ t=1.1232E6  c (g/cm^3) @ t=1.2096E6
0.02                      2.5503140986749113E-5    1.1852448078121474E-6    1.0887597251015736E-6    1.0370766305248387E-6    9.98404303709778E-7      9.644573339373404E-7     9.326580839204204E-7     9.021636492380867E-7     8.727690121983134E-7     8.443672141416137E-7     8.168964426653127E-7     7.90306797880774E-7      7.645817966682702E-7     7.396928448588976E-7     7.156178823572562E-7
0.020999999999999998      2.925091366791874E-4     1.403664678430307E-5     1.2894002881292771E-5    1.2281934441481429E-5    1.182394843171969E-5     1.1421923260433239E-5    1.104533273590902E-5     1.0684194613368806E-5    1.0336080927205562E-5    9.999725019069458E-6     9.674394875365593E-6     9.359499561299977E-6     9.0548438841855E-6       8.760089224883535E-6     8.474974344382727E-6
0.021999999999999995      5.072690671725773E-4     2.629137933330062E-5     2.415115131741471E-5     2.3004715976276756E-5    2.214688442963914E-5     2.1393870258947655E-5    2.0688496439095462E-5    2.00120657519849E-5      1.936003049708849E-5     1.873001816252114E-5     1.8120657651686024E-5    1.7530842115023134E-5    1.696020594688E-5        1.6408114896995587E-5    1.5874079651701156E-5
0.022999999999999993      6.663859899669564E-4     3.800244472912943E-5     3.490889541856465E-5     3.3251801016905804E-5    3.201186281397248E-5     3.092343075094129E-5     2.990385951986889E-5     2.8926123638852893E-5    2.7983649721774614E-5    2.70730084691529E-5      2.619221805704747E-5     2.5339678610561047E-5    2.4514861670147438E-5    2.3716850469568747E-5    2.2944937737973328E-5
0.023999999999999987      7.786709615157416E-4     4.9216079063651694E-5    4.5209709958183226E-5    4.3063648726652025E-5    4.1457834241496724E-5    4.0048231093311025E-5    3.8727807778183376E-5    3.746156441128181E-5     3.6240987976570873E-5    3.50616372830514E-5      3.3920945725295236E-5    3.2816841346584225E-5    3.174863974914954E-5     3.071515365045332E-5     2.9715467079106857E-5
0.024999999999999988      8.553993728510605E-4     5.9972857214845074E-5    5.5090869149156546E-5    5.247576452556595E-5     5.051898033297514E-5     4.8801290753990744E-5    4.71922720167901E-5      4.564927486933426E-5     4.416192570662492E-5     4.272481268303451E-5     4.133480824282322E-5     3.99893875833425E-5      3.86877167196305E-5      3.742834887363376E-5     3.6210167874630125E-5
0.02599999999999999       9.066504335382268E-4     7.030858105507377E-5     6.458526257401657E-5     6.151947729567802E-5     5.922546189884803E-5     5.7211745097892604E-5    5.5325426996484865E-5    5.3516508578122237E-5    5.1772828500411544E-5    5.00880422713467E-5      4.8458483350190265E-5    4.688119181752872E-5     4.5355189953997656E-5    4.387878164306825E-5     4.245065834929929E-5
0.026999999999999986      9.403094172767822E-4     8.025500000714836E-5     7.372205710599693E-5     7.022256988660604E-5     6.760402593530764E-5     6.530543174506132E-5     6.315225846168082E-5     6.108743435398234E-5     5.909707770509578E-5     5.7173946521792195E-5    5.5313855589041215E-5    5.351342626367477E-5     5.177154250285665E-5     5.0086268242643776E-5    4.845610982634029E-5
0.027999999999999983      9.621284653533765E-4     8.984040054673782E-5     8.252723844118024E-5     7.860979494610834E-5     7.567850222120708E-5     7.310537028325119E-5     7.069502703657216E-5     6.83835849931512E-5      6.615550453470153E-5     6.400267876120093E-5     6.192042261994123E-5     5.9904953946612615E-5    5.795502339215603E-5     5.606846365383975E-5     5.424360267049388E-5
0.02899999999999998       9.761269616618391E-4     9.90900922545879E-5      9.102405759887569E-5     8.67033002292235E-5      8.347021276882335E-5     8.063215779733765E-5     7.797365071370593E-5     7.542422725453966E-5     7.296674799808359E-5     7.059227144974569E-5     6.8295630236847E-5       6.607265281144855E-5     6.392196118325274E-5     6.184116490874689E-5     5.9828419767801875E-5
