DAS,Substrate,Genotype,RootDiameter,Length,Total exudation
42,L,WT,0.36470649227083,1473.08059648723,0.048937614223885
42,L,WT,0.376851906818836,2381.65434032767,0.082225572189158
42,L,WT,0.373263228520892,2328.72380111111,0.08757444876044
42,L,WT,0.350225188631564,2178.95690771277,0.09226839016646
42,L,rth3,0.422253956442822,824.503464003329,0.067186746403512
42,L,rth3,0.545014810855928,470.325350693878,0.047009638097699
42,L,rth3,0.450102256439286,801.688416133669,0.052430612180142
42,L,rth3,0.480282694560301,805.759403360177,0.059166733543906
42,S,WT,0.392640602744534,929.426055754303,0.055994895808975
42,S,WT,0.353177285586411,1736.2762903441,0.106209407227056
42,S,WT,0.313553332452847,1861.66908518345,0.063194748739219
42,S,WT,0.464476923095612,561.428896,0
42,S,rth3,0.451851701534446,1074.85439467332,0.055994895808975
42,S,rth3,0.360374523780603,770.743141927195,0.046216784046859
42,S,rth3,0.449021166340359,663.55330504798,0.053214754578485
42,S,rth3,0.426480694914524,1280.18782745098,0.059034591202099
63,L,WT,0.313852579809554,24791.3739427677,0.283801961412105
63,L,WT,0.301463181702966,22254.0331222647,0.430883262490981
63,L,WT,0.348481281225299,12762.7722184397,0.27817972522114
63,L,WT,0.332806218318348,16495.9537192698,0.172510274870627
63,L,rth3,0.311438049611426,10312.5583013123,0.247600245450769
63,L,rth3,0.330556470758111,10548.9599076446,0.274679562139288
63,L,rth3,0.437825595798365,2268.5381156658,0.125967964929157
63,L,rth3,0.412032316301126,7573.17940634615,0.249472441395839
63,S,WT,0.255850295048977,18250.1646293528,0.112392321443655
63,S,WT,0.278303183195315,11481.2329409002,0.120218907370918
63,S,WT,0.255356103762781,23203.4039875535,0.178076495479565
63,S,WT,0.259825679256362,8451.11184068965,0.077983572082692
63,S,rth3,0.341249384195116,3299.19291259446,0.065494643948288
63,S,rth3,0.295108250539709,19761.9709851852,0.179884698492381
63,S,rth3,0.319750617340907,10248.9804640929,0.179722028023263
63,S,rth3,0.300327462045146,5435.55300981818,0.073290757050667
98,L,WT,0.344731257565689,73371.296505071,1.04022888163683
98,L,WT,0.299899712538336,85198.9865833726,0.71994252624977
98,L,WT,0.352083378402069,81005.4914883402,0.462563169306106
98,L,WT,0.323730527809766,70932.810067738,0.885524238459293
98,L,rth3,0.3465514755581,35925.4446619916,1.08527620782775
98,L,rth3,0.366475466150694,32028.7924639539,0.442170755971755
98,L,rth3,0.374753608261471,55834.5698415934,0.22871454952085
98,L,rth3,0.35245096868506,43118.5443360937,0.690205402424386
98,S,WT,0.302457648969155,66267.6513325792,0.125370683553427
98,S,WT,0.25092936377266,43200.4431521956,0.300243574077879
98,S,WT,0.281141172801661,60138.1636532419,0.546695675574456
98,S,WT,0.299930281160419,52745.6538101103,0.413109475869676
98,S,rth3,0.306529093984945,40862.0357814374,0.528146776554663
98,S,rth3,0.318819474003702,73378.261175891,0.230631670577549
98,S,rth3,0.287235964590431,36240.5546673127,0.591080541086106
98,S,rth3,0.337160710184262,38216.7326326692,0.192108578349211
154,L,WT,0.284521509455686,77556.1821709812,0.611047206332385
154,L,WT,0.312351970134842,50158.7053710541,0.49527992855656
154,L,WT,0.298823448501052,87905.0373409952,0.630308752446554
154,L,WT,0.30677094942436,92213.8285894104,0.678232936466635
154,L,rth3,0.332906555108695,45059.8566925023,0.289683515901251
154,L,rth3,0.332906555108695,45059.8566925023,0.289683515901251
154,L,rth3,0.324219634815072,44261.6899586777,0.736754138866961
154,L,rth3,0.347336933544769,37494.6559796325,0.500507157353991
154,S,WT,0.258325992128735,67538.0475614135,0.305903765260551
154,S,WT,0.274131690650991,59666.488717083,0.24855472931783
154,S,WT,0.267599391336699,46604.7475550152,0.25217418925787
154,S,WT,0.262693028029311,42778.7908034188,0.255872849634233
154,S,rth3,0.288950000638803,30957.8112,0.232912643143701
154,S,rth3,0.344439842525096,28208.3256,0.20255511590044
154,S,rth3,0.326366952097771,34097.3180852349,0.384977480887139
154,S,rth3,0.338000559394859,25979.8378432343,0.206736898938385
