DAS;L_WT;L_RTH3;S_WT;S_RTH3
139;3.720443336;2.526308262;3.720443336;2.526308262
140;3.720443336;2.526308262;3.720443336;2.526308262
141;3.720443336;2.526308262;3.720443336;2.526308262
142;3.720443336;2.526308262;3.720443336;2.526308262
143;3.720443336;2.526308262;3.720443336;2.526308262
144;3.720443336;2.526308262;3.720443336;2.526308262
145;3.720443336;2.526308262;3.720443336;2.526308262
146;3.720443336;2.526308262;3.720443336;2.526308262
147;3.720443336;2.526308262;3.720443336;2.526308262
148;3.720443336;2.526308262;3.720443336;2.526308262
149;3.720443336;2.526308262;3.720443336;2.526308262
150;3.720443336;2.526308262;3.720443336;2.526308262
151;3.720443336;2.526308262;3.720443336;2.526308262
152;3.720443336;2.526308262;3.720443336;2.526308262
153;3.720443336;2.526308262;3.720443336;2.526308262
154;3.720443336;2.526308262;3.720443336;2.526308262
155;3.720443336;2.526308262;3.720443336;2.526308262
156;3.720443336;2.526308262;3.720443336;2.526308262
157;3.720443336;2.526308262;3.720443336;2.526308262
