DAS,Substrate,Genotype,RLD,RLD std,diam,diam std,Length,Length std,RLD Helena,RLD converted ,exud,exud std
42,L,WT,0.443629477,0.077282812,0.366261704,0.010256245,2090.603911,364.1952534,0.03,0.03097191,0.0777515063349856,0.0170109358790746
42,L,rth3,0.15396693,0.136167669,0.47441343,0.026103392,725.5691585,641.6901423,0.026666667,0.010749173,0.0564484325563145,0.00942873036813629
42,S,WT,0.269962882,0.172867486,0.380962036,0.075262381,1272.200082,814.6380258,0.046666667,0.018847409,0.0563497629438125,0.0179717739623823
42,S,rth3,0.201025924,0.139216602,0.421932022,0.069803616,947.3346673,656.0582372,0.04,0.014034588,0.0536152564091045,0.017533429150421
63,L,WT,2.023982308,0.031324365,0.324150815,0.045636189,19076.03325,147.6160687,0.223333333,0.2826079,0.291343805998713,0.00754874602081784
63,L,rth3,0.814409436,0.036164572,0.372963108,0.054949054,7675.808933,170.4255447,0.226666667,0.113715688,0.224430053478763,0.00451426066247033
63,S,WT,1.628273565,0.082560301,0.262333815,0.049371946,15346.47835,389.0654179,0.643333333,0.227355235,0.122167824094208,0.0219300152535641
63,S,rth3,1.027737331,0.099699583,0.314108929,0.061754458,9686.424343,469.8342855,0.366666667,0.143502583,0.124598031878649,0.0204066387670298
98,L,WT,4.11815099,0.115524725,0.330111219,0.055738342,77627.14616,544.4102646,1.123333333,1.150031795,0.777064703912999,0.0377765127860492
98,L,rth3,2.213625349,0.11136511,0.36005788,0.064108342,41726.83783,524.8080796,1.056666667,0.618175375,0.611591728936186,0.0377765127860492
98,S,WT,2.948964349,0.104762423,0.283614617,0.062978852,55587.97799,493.6929189,1.696666667,0.8235256,0.34635485226886,0.0246230283340737
98,S,rth3,2.502620481,0.04078294,0.312436311,0.041435114,47174.39606,192.1896025,1.176666667,0.698879942,0.385491891641882,0.0227150030756048
154,L,WT,4.082675775,0.05184508,0.300616969,0.036874873,76958.43837,244.3199416,0.966666667,1.140125013,0.603717205950533,0.00474156272454613
154,L,rth3,2.242550002,0.057082784,0.334821041,0.037618444,42272.06754,269.0026194,0.686666667,0.626252852,0.381736203030551,0.00524021066323779
154,S,WT,2.872520884,1.144004126,0.265687526,0.059126711,54147.01866,11231.44316,2.176666667,0.802178054,0.265626383367621,0.107354398121765
154,S,rth3,1.581476031,1.054204849,0.324439339,0.056241511,29810.82318,10536.26624,1.55,0.441641825,0.256795534717416,0.152906912196598
