x, y,               x = time,y = Irrig(cm/day)
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
13.999,0,,
14,11.519,,
14.083,11.519,,
14.084,0,,
