,day,sur_P0,sur_P1,sur_P2,sur_P3
0,1.0,1.5648329831120407,1.44058627267202,1.6434432386724935,3.1974223456855695
1,2.0,3.3417512208507945,2.8077521294447143,3.2844819633328752,6.244286559880251
2,3.0,6.075245873779515,5.145633792470041,5.920422395157243,11.564782549128006
3,4.0,9.679648575576183,10.184437711449576,10.089707608374107,17.16834508641717
4,5.0,15.323442741860804,15.392800688377921,17.351353536506945,24.230839891177247
5,6.0,22.481202186217892,23.76657210654924,24.814010880789592,33.16621370425783
6,7.0,29.84903519104011,33.61496278573561,36.56333512125643,44.6874530194087
7,8.0,38.928776453241646,45.88837484150507,49.84539381458972,58.28964317627497
8,9.0,50.228499519087116,59.149754409220236,64.6601429100358,72.93181079985855
9,10.0,62.452362615574366,72.38990725364424,78.46495194067467,87.95394802513002
10,11.0,76.67239163240042,85.57731313079341,91.73042642552758,103.78371908992958
11,12.0,88.34717035958721,101.58444662241962,103.81019194503904,117.99744018813153
12,13.0,99.43284121518079,113.85338399415002,117.01629694299834,134.05867389413476
13,14.0,111.4028817600379,126.07312762932304,128.23443463861733,146.6362639421867
14,15.0,122.2074029722908,137.59952669203858,140.50748097908001,160.04261818269748
15,16.0,132.83843136776818,149.7807941813776,154.51383616673417,175.93808040921604
16,17.0,142.83580805653241,162.50108155087202,166.45404587011654,189.9236288694731
17,18.0,154.94423702093695,172.59921648861638,178.31864877807516,203.36261672806688
18,19.0,165.00673352557624,183.2790275483173,189.3251650175235,216.24222889515292
19,20.0,174.10768580092872,194.7833016436818,200.7889727160872,228.88145364973548
20,21.0,184.90905222648416,205.00046587963897,212.61267096569867,242.0189059763709
21,22.0,194.43206830117302,214.02862294261843,223.58795931377315,255.07994227781046
22,23.0,204.01088468204787,223.78124660361408,235.7048063210466,269.00266743607483
23,24.0,213.04765890126663,232.1520115662725,246.5702188548915,281.9432889980927
24,25.0,221.41440191002243,242.3605517951133,257.4515837116935,293.8122076181379
25,26.0,231.2035001199443,251.88946583390353,266.57863198997745,305.3714874699156
26,27.0,238.9040642751716,261.87838529171665,275.99894523903487,315.8459665492438
27,28.0,246.53394358965124,271.77099270311027,284.5426972444634,325.52140855693506
28,1.0,1.8153452982790546,1.4926071164124026,2.545529118607043,3.287659181299331
29,2.0,3.9079068455892836,2.8678932726487956,5.629233289912756,6.469210693191188
30,3.0,6.76231259652257,4.930453809117143,10.46250564452202,11.302985068114067
31,4.0,12.110223106355589,9.309195409336732,17.3242693496092,16.671813899743558
32,5.0,17.07137004817805,15.186718459617035,25.867222014606632,24.491428939044084
33,6.0,24.079661620626215,24.106855659456947,36.39288199958733,34.470081162241605
34,7.0,34.77533577503199,36.30930864617261,50.670086660923225,46.252214145897604
35,8.0,47.85491265001678,48.65148482713251,64.77157376223415,62.4022668934925
36,9.0,61.09829017385222,63.270376342662345,79.99720029235908,79.64760788693147
37,10.0,76.32492518064112,76.37590505143064,96.96026026752078,95.98483658087358
38,11.0,90.87856700890464,89.02258112599041,111.52968603662393,112.15454609998977
39,12.0,106.03824155828518,102.76901065120691,127.35935288712751,128.02777701686978
40,13.0,120.48934565159695,116.93121783038234,143.57877417578368,143.75890059094917
41,14.0,134.97824139691147,130.66283980555232,159.96688948473957,160.8390750176738
42,15.0,149.51409769330195,141.95017899844277,174.11717725419544,176.86645916953458
43,16.0,162.4339843203016,154.55965248882762,189.5949401697814,193.34368906797664
44,17.0,176.2109040828171,166.87499347400788,205.15380739855794,207.822104476116
45,18.0,188.22347505139558,179.71828055500572,219.951891318749,221.11100268908368
46,19.0,201.09410407861552,191.56436151090935,232.38857075091596,234.140684066292
47,20.0,212.34843911844257,201.68671875360843,244.7622952325222,246.62203153683282
48,21.0,224.1484077672979,213.36949582813074,256.93264510094366,260.58520236922453
49,22.0,233.64357271253152,224.0027591455484,268.8232108366969,274.1318197304639
50,23.0,245.36263558438574,234.35154292279663,278.48283102780016,285.6304883866271
51,24.0,258.0287058900732,244.23476426657675,288.90026041522856,298.60057506317094
52,25.0,270.0523571331489,253.4883243624679,300.1489644816961,308.9579912174088
53,26.0,279.5646225448128,263.171148852082,310.1478959929782,319.3933772874868
54,27.0,290.9477374469358,273.16492244168273,320.7345531939758,330.4845343751415
55,28.0,301.7360295433532,281.81277847861907,329.6580450886947,339.36130477244825
56,1.0,1.1431524401513304,1.059193294133655,2.0622255752637275,2.906167338136888
57,2.0,2.939620696554195,2.840890869242288,4.386641791555427,6.603032920100748
58,3.0,6.156657976956484,4.924937482211911,7.577704423102511,12.275926231117024
59,4.0,9.900036773535419,8.054067282807079,12.07600348149391,16.89931501393444
60,5.0,15.545264177350347,13.368229860097278,18.198960353640324,23.664215376628643
61,6.0,23.17108224272202,22.153777577767272,27.26480611595908,33.231359001199706
62,7.0,31.401050584950404,33.39841736615685,36.97780598809803,45.237851916758906
63,8.0,42.42014939612253,46.09446031139817,48.935957856694344,59.86523150901115
64,9.0,53.412723009417086,59.131441352255095,60.75627603414163,74.06955091950131
65,10.0,67.71239159408749,72.32780829696347,74.85661889971857,91.33433670889866
66,11.0,81.12244000132996,86.48288585533496,87.88345857144708,107.18237661055703
67,12.0,93.57395115734192,100.87739633581947,102.746181859023,123.80561149460348
68,13.0,105.54622838819682,114.14884692862475,116.72619189525955,139.36070255453558
69,14.0,117.42387031162701,125.53927568156931,130.1404029013229,156.14532265003186
70,15.0,127.57235682400352,138.57405001466654,144.27439760254157,172.33662106806375
71,16.0,140.2570751344507,152.88231297493735,156.2085493028173,185.52008443221212
72,17.0,154.90904741436722,165.70460851516756,168.95233580009787,198.70306422980542
73,18.0,166.592294131065,178.62935312154877,182.22933782992203,212.39742479152613
74,19.0,178.02325005358074,190.91185428340194,195.6155838726603,225.9733817410259
75,20.0,188.59200349768167,201.7592757916686,207.77616949929768,240.24501790216806
76,21.0,199.56298501039603,212.39347940290168,220.29772315096534,253.85760518912048
77,22.0,209.41604350587698,223.00764982829998,232.35096568165534,264.8374061197685
78,23.0,218.91676553312908,232.12318622115367,242.4328986375064,276.02998823171043
79,24.0,229.43402399223746,243.0634642898548,253.20156574223157,286.40906666910564
80,25.0,239.00849183450705,252.62414135806466,264.3726709136906,297.1542806995609
81,26.0,248.07358038283422,264.36736419577676,274.510938209971,308.1304273721053
82,27.0,257.06784319008045,275.97549635641565,284.6182152005913,320.16304681401834
83,28.0,266.44635456482445,286.1151014289468,294.58165368343487,330.89267297724894
84,1.0,1.9137444395523113,1.4045185046830284,2.245650872012891,3.1612229269689536
85,2.0,4.420213316143201,2.8767046037374806,4.997431984748609,6.408443046525263
