,day,vol_P0,vol_P1,vol_P2,vol_P3
0,1.0,0.051058764946100746,0.03631836112816607,0.05373281119952208,0.1552317172899433
1,2.0,0.10198621411535384,0.07078573337118473,0.107387006177687,0.30315398503693475
2,3.0,0.17306991070228386,0.11995372514947486,0.17697739979299235,0.48665609069910276
3,4.0,0.2579070969065035,0.21244107158226766,0.27606824424570775,0.6790632391333669
4,5.0,0.38578226423151346,0.32780984583136463,0.45453077879800813,0.9299263360544325
5,6.0,0.5550527472254749,0.5291207270209503,0.6727069967279516,1.2624894003353275
6,7.0,0.7381617106783822,0.7648167291251249,0.9852394780270287,1.6807842811301419
7,8.0,0.9568164528552483,1.039150559640375,1.3312763690182925,2.165909370023122
8,9.0,1.211565428486561,1.326500843077649,1.6995211127488303,2.660727418484254
9,10.0,1.4746179684058025,1.6093421798993892,2.049203648457856,3.148168106807538
10,11.0,1.767011168925385,1.8910735453984857,2.383013345329771,3.644471799244
11,12.0,2.0206696062560936,2.2170477945583587,2.6936270297269447,4.106310174699639
12,13.0,2.2570028757183027,2.4793981875300064,3.0164611854096277,4.607428144045541
13,14.0,2.5074616179386746,2.7468276255169477,3.3090636314092245,5.0366642869597875
14,15.0,2.735695372506788,3.002238635045419,3.6165391322896596,5.463765784159251
15,16.0,2.9670628261883607,3.2639759496114027,3.951952853959197,5.925381690325654
16,17.0,3.1799612504798507,3.5280472516191614,4.237882513979905,6.358991580224436
17,18.0,3.428389263694255,3.743325377719545,4.5340449902370015,6.7710407884814625
18,19.0,3.651703576671018,3.9698137883014173,4.813056558469228,7.170520554242692
19,20.0,3.8478834190209787,4.209062383609753,5.095337684410071,7.56023640811041
20,21.0,4.068933154033881,4.420485246953678,5.38207550415976,7.955015491101134
21,22.0,4.26892846793663,4.61157152765627,5.650466719695139,8.342834260538684
22,23.0,4.465669929891131,4.814971118405214,5.933838351161551,8.747876075691442
23,24.0,4.649232470207628,4.995617707080806,6.191894048206419,9.124657083817134
24,25.0,4.8229088797995034,5.2019160897117205,6.447798690653818,9.472178247795359
25,26.0,5.023489113703337,5.395392963273622,6.679804247678257,9.820385392570135
26,27.0,5.183952706363901,5.596968003577695,6.904840088051391,10.149463689769966
27,28.0,5.3488406118543015,5.803473009017495,7.119982558332147,10.448352313809522
28,1.0,0.050419634761996616,0.04644366749482848,0.09653966418457506,0.16621326972327272
29,2.0,0.10463120760383156,0.08923679922262587,0.19950013648380174,0.3228819810425686
30,3.0,0.1722254868826156,0.14195376744325647,0.3293602021160984,0.5105430373176786
31,4.0,0.28247105361817515,0.25725523988694377,0.514715489533536,0.7114799661288749
32,5.0,0.39564923471926844,0.4305385454676383,0.7486565650706326,0.9958015954604813
33,6.0,0.5520008156919941,0.6704653725044425,1.0436205409778856,1.3590367603899294
34,7.0,0.7756676051767126,0.9714545017168854,1.4310856172438229,1.7845422666747877
35,8.0,1.0442433799340516,1.2747544215052502,1.825294004565874,2.314599546872745
36,9.0,1.3174733066674333,1.6168513749395785,2.232350400923454,2.8473688974679945
37,10.0,1.6171123228654727,1.930784827831547,2.658776902102348,3.3542485369409416
38,11.0,1.9030007275252732,2.230325200738475,3.0376800936969777,3.8427455249124076
39,12.0,2.2121040655382234,2.5433587175305954,3.4399022618210267,4.325224993054664
40,13.0,2.4950034436873056,2.859411175820581,3.833074011895751,4.795830885849408
41,14.0,2.7817707761854895,3.171673196285324,4.221948853812967,5.289296629736437
42,15.0,3.0649368491646305,3.4367059532397883,4.578705263437784,5.753031865292339
43,16.0,3.320390648538588,3.7254293769031706,4.944575861299107,6.219808737424559
44,17.0,3.587627715460928,4.002982117433034,5.3122260744676115,6.65124326870204
45,18.0,3.8275548740229457,4.284095531756954,5.662355467021253,7.048933632375217
46,19.0,4.076131266379386,4.548388183345176,5.971067454553705,7.439807411451701
47,20.0,4.29532302874185,4.786653201095389,6.275050529744732,7.8156374951077625
48,21.0,4.52617000204128,5.053574264966629,6.576447009234285,8.2110211601911
49,22.0,4.718350820343678,5.301310881062654,6.871712085458712,8.608404684876186
50,23.0,4.949571931982535,5.543494716530963,7.12434769600251,8.95321394223164
51,24.0,5.197050131832327,5.769463226047405,7.3873726999921185,9.31972773938393
52,25.0,5.436188628400972,5.985382169596988,7.6623748746244456,9.638358024391593
53,26.0,5.62883242240197,6.206979253426331,7.915215283197605,9.950538744519388
54,27.0,5.846384681585986,6.43214130131898,8.173364344121701,10.284264560287752
55,28.0,6.048875644432778,6.6394556421696524,8.40286518006074,10.566553824448253
56,1.0,0.023888571428662585,0.024767822749057797,0.07719866107766503,0.128453542303119
57,2.0,0.05815423323770114,0.060972548919299985,0.16008246186097677,0.26675525979556897
58,3.0,0.11757695149271749,0.10378098912950368,0.25269363473122775,0.4342270712651742
59,4.0,0.19195283257094342,0.1640559672330302,0.38130660056050053,0.6001844871604367
60,5.0,0.30868342646132324,0.2767213795315478,0.5669752028361652,0.8361919306469614
61,6.0,0.46581984572528046,0.46950441977520485,0.830534917526129,1.1668909803156977
62,7.0,0.6481592585722983,0.7453549330257607,1.1316377021155255,1.5872507997516818
63,8.0,0.8811198112630706,1.066973393689038,1.4788412246276408,2.0557322644476477
64,9.0,1.1084730223173833,1.3939431720749154,1.81831743312965,2.5192802927005102
65,10.0,1.3790640595687518,1.7101610037432113,2.1927705150086783,3.0113801482127167
66,11.0,1.6395631035843607,2.048520932546832,2.5411877715606828,3.4743107827756803
67,12.0,1.8859896362924617,2.379120749303285,2.914166983241584,3.9467299710287085
68,13.0,2.1262234986406447,2.690744304228857,3.2703023326578133,4.399135900066497
