vol_P0,vol_P1,vol_P2,vol_P3
0.04325069584759194,0.055519826944851254,0.06643823766953555,0.13497053995312547
0.09169409267772821,0.11596758283717161,0.13789420577196906,0.27258929718108155
0.15508605551817767,0.18926388594812746,0.22467799171191458,0.4227700048525792
0.2413970361515439,0.2896625688971404,0.342309137233692,0.6132919484059854
0.3611325548918743,0.4413832987404088,0.514658379891204,0.8853006400440812
0.5232677784318958,0.6470656431305118,0.7478611724834668,1.2445272601424733
0.733555439761322,0.9117327518472681,1.0483129164184295,1.6891865181254093
0.9788802161935266,1.217005637355231,1.390769482919408,2.1913584869238933
1.2353448004840064,1.5297662299172388,1.7439523959936836,2.69909516425518
1.4989545969604903,1.8472387021340788,2.10037392409249,3.205695831727823
1.760079303609772,2.1671197632147177,2.451249627961908,3.700484588882047
2.017398210590529,2.482836582666611,2.797712797875116,4.184882524416054
2.2760466359176927,2.789564000673426,3.1358535929359097,4.659277492039146
2.5305290765685164,3.089828973189123,3.4629737917548935,5.122852651179834
2.782235606813048,3.3824397435928915,3.785192653186546,5.577848665036823
3.026594735237144,3.668645746584176,4.094084383671597,6.016619854073954
3.2646062579602675,3.947605121939165,4.396943118391088,6.446601617187081
3.4969468979830327,4.222370491209878,4.6958289082092275,6.863290707718943
3.7255605535556144,4.48878319617047,4.9838369959859685,7.269736706967638
3.9464969861685337,4.747454127852143,5.267834122572476,7.66330445695055
4.160083946152354,5.001397179376092,5.541207043402596,8.048008843932683
4.368041918103408,5.2458893885448745,5.8095467708133866,8.422523333037997
4.569546426891424,5.484147244875065,6.068747449489289,8.78723367689488
4.7680480361262,5.715557698231988,6.3228154011545845,9.142908875674294
4.96179222833039,5.941506296229945,6.569850734807145,9.48784859997823
5.1481498933147956,6.1628489410435146,6.810536148250853,9.821636306638293
5.330155229277187,6.378125880532316,7.044739790398886,10.145405974275405
5.510009060315209,6.58896000556566,7.271169657067166,10.46000394394576
