,day,len_P0,len_P1,len_P2,len_P3
0,1.0,3.81641692716321,4.547183050631249,4.0,5.240946006448834
1,2.0,9.64939655578257,8.862615961002957,7.994147618961142,10.235109776249985
2,3.0,18.999115711494795,18.658813511128983,17.15351246449967,27.161899441198866
3,4.0,32.74013999938664,42.94993908520456,33.774600259019714,45.43423251254364
4,5.0,55.841606197481205,64.87012855390466,61.119244876455795,66.34113853777188
5,6.0,82.86678364819602,96.95413469328616,84.74043573149945,89.79926935650776
6,7.0,108.97353470785492,134.33915161434726,125.83167781903322,123.55928529815372
7,8.0,142.45179394407123,184.54334291673337,174.01271876685843,164.03519328994346
8,9.0,187.42917657766657,239.91706880707252,231.29811729182887,210.23982095585404
9,10.0,238.87507750817795,297.1468451198856,282.75710722664223,260.85930732584313
10,11.0,300.9669349072402,353.28158385300253,332.68189978571246,316.8184115224268
11,12.0,349.16347925020216,423.28365249848946,378.2510380580951,363.3647447373106
12,13.0,396.24231674827683,476.23936869655154,430.52996578972727,417.68451033188063
13,14.0,448.6336720229027,526.4682363731035,471.204066759253,456.17265937721334
14,15.0,495.8601783168276,572.5158842002502,517.1777013493229,501.8221115533718
15,16.0,539.4992521427235,624.2733269199018,571.3645538580097,560.7368433814931
16,17.0,583.0605903533312,680.2684538948773,620.3315191054845,609.3665216278239
17,18.0,636.2002472948932,724.4766706681121,665.0043815318767,656.578028108381
18,19.0,676.1018803366821,770.9139035733094,705.3959492383033,701.038629351773
19,20.0,714.730986164445,821.2622991705117,749.0758080726146,745.6691067034093
20,21.0,762.9206335978695,867.2773721145384,794.6016706299232,793.2768349497874
21,22.0,804.4646715464754,907.834302359474,836.7722530475203,839.3929263057989
22,23.0,847.0160067251952,951.455333588098,885.5716371736376,889.4307043057115
23,24.0,888.6481941327622,987.7312759265201,928.407678082094,935.8729535047435
24,25.0,925.5982985870876,1034.627840995952,972.2975322835359,979.2929482204742
25,26.0,968.6942629422924,1078.049588936703,1005.9711675936888,1020.6992496888622
26,27.0,1002.6016286524467,1123.2830607981527,1043.5191003612597,1055.5490055363878
27,28.0,1034.093049183315,1165.9738433945768,1075.6737362251702,1088.9692654809994
28,1.0,5.201264387151866,3.817285517625441,5.341220299569558,5.1748530565528075
29,2.0,12.076557445053911,7.3345271742312255,13.776134422276673,10.511669134701634
30,3.0,22.523511017356128,14.781307522001338,31.114202322033762,23.877351031431054
31,4.0,44.99164165082763,30.164698296415914,54.7118776196026,39.58069145200543
32,5.0,63.60848437915076,48.99464654487024,84.48085623933497,60.670185941759925
33,6.0,91.61450667979372,80.79856823812825,119.43512597107892,89.18429270384648
34,7.0,137.16235491207723,128.64600842568169,168.18725272047774,122.69366390695996
35,8.0,193.68094164154107,176.20943724526538,216.36401779851792,171.837916400208
36,9.0,249.69382061592398,234.78141206384964,271.34755629942896,228.8058841694078
37,10.0,317.4477029421821,286.1570228068821,336.8421974388765,282.9256505508271
38,11.0,382.6358678332125,337.7593088936775,391.1673858010157,339.62829070896413
39,12.0,446.3462956194785,395.41315300862857,451.6049548769489,394.28295758339
40,13.0,511.49006502392797,455.27446228434593,517.6802221218059,449.676018553271
41,14.0,575.3800750726747,512.3774430410799,585.3296743806543,511.4020043470806
42,15.0,640.2558941250986,558.1538144366177,641.2126630723998,568.5802647707585
43,16.0,697.8174077052145,610.3250950129468,705.9014046926809,629.9438658677884
44,17.0,760.3687211022399,662.6029011008009,770.449890539189,680.4959820097718
45,18.0,812.6680313303225,718.5120497410628,832.8958396355035,727.6356782792393
46,19.0,871.4968422678953,768.6685919928792,883.1356235924491,773.604651263579
47,20.0,922.2520346372935,809.4622479513753,933.6657633176783,816.9658283115015
48,21.0,975.0843690740493,856.8303367425938,981.7739591189794,868.094664497645
49,22.0,1016.1677590828983,898.9396018529964,1029.3241556090097,914.9537884035608
50,23.0,1067.1111761658062,939.9353055102498,1066.1655488450601,954.6656049401444
51,24.0,1122.7103919681797,980.6098936886542,1107.036532496823,1003.0595235523439
52,25.0,1174.0358219013078,1017.1898322400341,1152.0922238935427,1038.5920368015938
53,26.0,1214.2336062372738,1056.615738386838,1190.1663273048653,1074.7258437728522
54,27.0,1266.446289115082,1097.8573668579647,1232.609331793084,1112.4619781724791
55,28.0,1317.482457257886,1130.8734998948664,1266.4705360182004,1141.863839625475
56,1.0,4.353196309642246,3.6045640757654276,4.383819913159246,5.232211438315103
57,2.0,12.121488288937108,10.928108205026778,10.06000001140612,14.631548303802472
58,3.0,26.354922764749084,19.397250709533125,20.373251283792538,34.559866507197555
59,4.0,42.03083423844485,33.44769400487829,35.82903417978826,46.837790929097906
60,5.0,64.59703382608501,55.41831750101403,55.374572785224245,65.28918903329664
61,6.0,96.14219820361328,93.01939072284777,86.53208226315192,93.18863794971337
62,7.0,128.03238670765936,136.2143579882942,116.72241171840726,126.12264174568286
63,8.0,172.14025565642632,183.6455046630995,154.916315298319,171.31024377273303
64,9.0,217.90785874930663,232.8063308859557,194.76141543161896,213.3760551737399
65,10.0,284.59420339103787,285.836367878726,246.41063510958392,275.6894373816444
66,11.0,344.8169474039181,342.0881943514412,294.6839933961184,331.1364565548311
67,12.0,399.1319660612297,402.514738949915,353.154515662982,393.0630621784265
68,13.0,450.3440265051961,457.5090610263095,406.21357674780893,447.7929816585068
69,14.0,502.8900920335313,502.7556548610761,458.26818020050416,509.1697902281601
70,15.0,545.4628292180159,555.1788196979948,515.4269815312446,570.2430812473376
71,16.0,600.6977241035835,612.8640239268652,563.5775881789671,617.0859542022058
72,17.0,669.717084579012,665.6901807288166,613.7912477454853,663.9195746087962
73,18.0,724.2529061832288,719.3386769623514,665.6365252058996,714.4811141421533
74,19.0,775.8918882493812,769.9798001320642,720.7762724506717,765.9636469437872
75,20.0,823.2356285767821,814.0674170334979,770.3978038511177,821.4759311454683
76,21.0,872.98496239617,855.6745370301138,823.3299922689416,872.5380655406292
77,22.0,917.3580347272845,900.5404393834833,872.9691534423649,912.3430340606318
78,23.0,962.1483786481256,938.8963741148796,913.4153101172113,952.0401607594114
79,24.0,1011.0830736217038,983.6143360363276,953.6055574914733,987.2876912497201
80,25.0,1054.1671567043081,1023.2087902109611,998.029270432723,1027.016742788929
81,26.0,1096.9915014851822,1070.0748215222366,1037.2983429762212,1067.5629895821976
82,27.0,1138.733237005065,1119.4150595782298,1075.8063365674093,1114.1812001921335
83,28.0,1181.1784954161838,1162.3437461530202,1115.419375961431,1154.8232242471652
84,1.0,5.3442756320439475,4.779747921147038,5.922424129981439,5.25
85,2.0,13.50188869279074,10.05791772201372,15.27507099464847,10.92994342814307
86,3.0,28.834734051420515,16.711541039674895,29.9265550286767,22.767586102293773
87,4.0,43.17365272348877,35.86039673116413,49.31637700992037,40.18089058777918
88,5.0,66.4937980606207,56.30079149176301,69.44900803690511,60.90961444702128
89,6.0,99.32353834377896,80.72772572302985,92.76825984435527,81.3396253411544
90,7.0,137.4973594710723,119.63923855480274,135.03320540273708,115.64569523224273
91,8.0,183.98742046766165,155.85926501112016,178.6443822746558,156.39261717873848
92,9.0,235.3735317036521,201.33630794682892,229.54318266421697,198.43425668661953
93,10.0,295.9408410280972,251.48303834055113,289.92569830277336,253.93534871871117
94,11.0,361.7418800289506,300.8722197714975,338.6372815114129,305.2302548901404
95,12.0,422.1471874518993,352.95709753165175,387.51590636772494,356.74154704586016
96,13.0,490.43590216024654,407.83447765228584,439.4152593458614,413.6995651243823
97,14.0,552.5521243013682,462.45818470443146,499.99840220267004,457.9021882340061
98,15.0,618.6641699698171,512.2512720360197,557.0214046497586,513.5078876684479
99,16.0,693.2145337498894,563.9961104956429,608.0564807972926,565.7029727488359
100,17.0,760.3393778619146,613.2931660656841,663.3573469764705,611.0804718654056
101,18.0,819.7825483057568,655.763663991236,715.586459186084,649.6684230199274
102,19.0,882.1731494659402,714.1793182695822,757.3820326827304,694.4452452460921
