SP,num,Seq,ILU,ILURes,SORC
-659.7954840108799,-659.7991148302503,-659.7987835969715,-659.7965617662342,-659.8020178328248,-659.8028399588692
-659.8581332668175,-659.8614920476087,-659.8647963062912,-659.860459624078,-659.8655845191115,-659.8651106729684
-660.0461639860248,-660.0486916056434,-660.0629454531858,-660.0522351893914,-660.0563622033716,-660.0519963843536
-660.3597278635556,-660.3608520011477,-660.3934003823113,-660.3720289471545,-660.3744922965931,-660.3636654905381
-660.7989659365763,-660.7981009072029,-660.8563183547977,-660.8199697848722,-660.8201058716315,-660.8002756159746
-661.3640080777033,-661.3605552072349,-661.4518454689601,-661.3961760112842,-661.3933224560121,-661.3619730783149
-662.054973194392,-662.0483205835003,-662.1801160314735,-662.1007545858972,-662.094250638699,-662.0488934075919
-662.871969055403,-662.8614923264719,-663.0412526368325,-662.9338015609908,-662.9229880591001,-662.8611608664693
-663.8150927710624,-663.8001547730971,-664.0353663693918,-663.8954020210306,-663.879620967839,-663.7988889202716
-664.8844300070298,-664.8643817249947,-665.1625564904897,-664.9856297909222,-664.964225028103,-664.8621797586742
-666.080055975622,-666.0542355023811,-666.4229111033269,-666.2045477411409,-666.1768646811369,-666.0511246196207
-667.4020346457042,-667.3697682112326,-667.8165064628247,-667.552208040118,-667.5175931129282,-667.3658038846355
-668.8504191191157,-668.811021312448,-669.3434072703938,-669.0286517377795,-668.9864530010706,-668.8062870000108
-670.4252516687221,-670.3780251736753,-671.0036669847591,-670.6339089097262,-670.5834759151777,-670.3726324876695
-672.1265637619348,-672.0707997419353,-672.7973273905121,-672.367998535122,-672.3086822247953,-672.064887725678
-673.9543760084886,-673.8893540307491,-674.7244188826378,-674.2309291913566,-674.1620817788042,-673.8830895817794
-675.9086980947839,-675.8336866967326,-676.7849603726862,-676.2226980719756,-676.14367317305,-675.8272638117311
-677.989528986066,-677.903785642232,-678.9789593909919,-678.3432916234611,-678.2534447361353,-677.8974254371543
-680.1968568511115,-680.0996280240156,-681.3064121643881,-680.5926859655145,-680.4913731084958,-680.0935787315161
-682.5306593718839,-682.4211805516132,-683.767303484887,-682.9708456446153,-682.8574251024886,-682.4157173676477
-684.990903139958,-684.8683994346591,-686.3616071892435,-685.477725072304,-685.3515559770053,-684.8638238479236
-687.577544481865,-687.4412303141745,-689.0892853682768,-688.113267508877,-687.9737106179158,-687.4378705522844
-690.2905290281351,-690.1396082329384,-691.9502890913484,-690.8774058496947,-690.7238231615157,-690.1378189165621
-693.1297913724324,-692.9634577404354,-694.944558445923,-693.7700620077118,-693.6018170652185,-692.963619552876
-696.0952560725137,-695.9126934303135,-698.0720218706745,-696.7911474808411,-696.6076052264278,-695.9152131288108
-699.1868371324057,-698.9872188477893,-701.3325974050856,-699.9405630415466,-699.7410896741939,-698.9925291773599
-702.4044375201676,-702.1869274509056,-704.7261914412754,-703.2181989281626,-703.0021622563296,-702.1954869662791
