,SP,num,Seq,ILU,ILURes,SORC
46,-664.9785722104396,-665.5571305406694,-665.6894991855819,-665.4258842140378,-665.3624872652734,-665.3792402291175
47,-665.3383309083221,-665.9532734212281,-666.094300753254,-665.8137411387169,-665.7463650939922,-665.7644724640202
48,-665.7124495958307,-666.3652217614641,-666.5152791026077,-666.2170736952712,-666.1455598479616,-666.1650965593917
49,-666.1011764502208,-666.7932499633218,-666.9527170593324,-666.6361502480316,-666.5603369966581,-666.5813805322858
50,-666.5047588521082,-667.2376317441317,-667.4068968597091,-667.071238445001,-666.9909612833096,-667.0135917213739
51,-666.9234434786382,-667.6986402478198,-667.8781002684816,-667.5226053250553,-667.4376968310575,-667.4619968967793
52,-667.3574763997315,-668.1765481601411,-668.3666086970213,-667.9905174265294,-667.9008072489207,-667.9268623669072
53,-667.8071031721532,-668.6716278191631,-668.8727033234371,-668.4752408973458,-668.380555738924,-668.4084540878088
54,-668.2725689352832,-669.1841513315004,-669.3966652109223,-668.9770416035843,-668.8772052043262,-668.9070377719763
55,-668.7541185063892,-669.7143906844307,-669.9387754290324,-669.4961852390052,-669.3910183567526,-669.4228789985954
56,-669.2519964764567,-670.2626178612256,-670.4993151716685,-670.03293743445,-669.9222578235857,-669.9562433223072
57,-669.7664473065187,-670.8291049539921,-671.078565880267,-670.5875638690725,-670.4711862560844,-670.5073963838173
58,-670.2977154236432,-671.4141242798285,-671.6768093635861,-671.160330379314,-671.038066437049,-671.0766040205681
59,-670.8460453172464,-672.0179484948328,-672.2943279180358,-671.7515030702604,-671.6231613912696,-671.6641323768321
60,-671.4116816357441,-672.6408507093299,-672.9314044509041,-672.3613484255725,-672.2267344919646,-672.2702480150359
61,-671.9948692835061,-673.2831046029866,-673.5883226006017,-672.9901334192878,-672.8490495704739,-672.8952180270655
62,-672.5958535179731,-673.9449845397386,-674.2653668603876,-673.6381256258102,-673.490371025349,-673.5393101453154
63,-673.214880045286,-674.6267656849681,-674.9628226995709,-674.3055933316716,-674.1509639310782,-674.2027928560052
64,-673.8521951191208,-675.3287241183717,-675.6809766878991,-674.992805647742,-674.8310941483147,-674.885935509089
65,-674.5080456374787,-676.051136953776,-676.4201166167022,-675.7000326192275,-675.5310284322585,-675.5890084325708
66,-675.1826792404031,-676.7942824516749,-677.1805316234643,-676.4275453381641,-676.2510345426101,-676.312283043661
67,-675.8763444072225,-677.5584401365685,-677.9625123155997,-677.1756160550999,-676.9913813537205,-677.0560319620856
68,-676.589290553485,-678.3438909150522,-678.7663508933068,-677.944518291516,-677.7523389635716,-677.8205291224743
69,-677.3217681301644,-679.1509171890773,-679.5923412747475,-678.734526951122,-678.5341788055903,-678.6060498892738
70,-678.0740287208164,-679.9798029757972,-680.4407792198637,-679.5459184321876,-679.33717375606,-679.4128711689389
71,-678.8463251398764,-680.8308340215926,-681.3119624557933,-680.3789707408476,-680.1615982464021,-680.2412715237483
