SP,num,Seq,ILU,ILURes,SORC
-659.2999851199428,-659.2999973606501,-659.2999962439523,-659.2999887534173,-659.3000071476438,-659.3000099193065
-659.300172088795,-659.3001954999555,-659.3002055369946,-659.3001835197495,-659.3002189616161,-659.3002201011112
-659.3009619417861,-659.3009935818408,-659.3010515479235,-659.3009936979488,-659.3010426104577,-659.3010290170823
-659.3027511346875,-659.3027861696609,-659.3029531432809,-659.3028239654012,-659.3028805721431,-659.3028306478
-659.3059315838847,-659.30596326587,-659.3063244267762,-659.3060743171133,-659.3061306769831,-659.3060145211874
-659.3108907078354,-659.3109103548542,-659.3115747853382,-659.3111401115855,-659.3111861496235,-659.3109657522084
-659.3180114721868,-659.3180084473214,-659.319108936409,-659.3184121171786,-659.3184356561821,-659.318065087289
-659.3276724371966,-659.3276341302653,-659.3293269787773,-659.3282765629721,-659.3282633543073,-659.3276889499791
-659.3402478095459,-659.3401596177501,-659.3426244472324,-659.3411151923012,-659.3410489446022,-659.3402094909634
-659.356107494155,-659.3559528057375,-659.3593923691884,-659.3573053180661,-659.3571677274998,-659.3559946391025
-659.3756171519215,-659.3753773261807,-659.3800173264561,-659.3772198817419,-659.3769906606146,-659.3754081561283
-659.3991382572347,-659.3987926078852,-659.4048815174724,-659.4012275157887,-659.4008844185131,-659.398809694112
-659.4270281591303,-659.4265539382202,-659.4343628232106,-659.4296926070888,-659.4292114574312,-659.4265548550117
-659.4596401448374,-659.4590125254497,-659.4688348767181,-659.4629753632204,-659.462330080273,-659.4589952525239
-659.4973235055588,-659.4965155654592,-659.5086671336517,-659.5014318805615,-659.5005945035209,-659.4964785753477
-659.5404236041561,-659.5394063090353,-659.5542249461408,-659.5454142168886,-659.5443549285761,-659.5393486546825
-659.5892819445901,-659.5880241326563,-659.6058696386027,-659.5952704626899,-659.5939576126368,-659.5879455316538
-659.6442362439415,-659.6427046098784,-659.6639585860605,-659.651344816609,-659.6497449448525,-659.6426055279359
-659.7056205059833,-659.703779584807,-659.7288452947951,-659.71397766416,-659.712055519514,-659.7036613181269
-659.7737650975239,-659.7715772478949,-659.8008794845263,-659.7835056539998,-659.7812242173106,-659.7714420043609
-659.8489968243389,-659.8464222133375,-659.8804071741024,-659.8602617807774,-659.8575822824013,-659.846273190634
-659.9316390114753,-659.9286355977198,-659.9677707663079,-659.944575466138,-659.9414574050966,-659.9284770622697
-660.022011583564,-660.0185351000009,-660.0633091368418,-660.0367726439262,-660.0331738047695,-660.0183724640785
-660.1204311453936,-660.1164350832327,-660.1673577250585,-660.1371758447409,-660.1330523144438,-660.1162749803669
-660.2272110672284,-660.2226466593892,-660.2802486239973,-660.2461042837997,-660.241410467147,-660.2224970192741
-660.3426615696144,-660.3374777717097,-660.4023106761252,-660.3638739490441,-660.3585625825046,-660.3373478943524
-660.4670898077626,-660.4612332814781,-660.5338695662342,-660.4907976911297,-660.484819856894,-660.4611339103268
-660.6007999618193,-660.594215055597,-660.6752479180349,-660.6271853143475,-660.6204904522493,-660.5941584506834
-660.7440933240202,-660.7367220539609,-660.8267653933029,-660.77334366887,-660.7658795886255,-660.736722062675
-660.8972683877254,-660.8890504190726,-660.9887387892976,-660.9295767459108,-660.921289635861,-660.8891225478332
-661.0606209405448,-661.0514935660723,-661.1614821397827,-661.0961857693678,-661.087020206816,-661.0516550514395
-661.2344441541039,-661.2243422744777,-661.345306816871,-661.273469294006,-661.2633682542022,-661.2246121535215
-661.4190286791676,-661.4078847807667,-661.540521633292,-661.4617233007156,-661.450628162843,-661.4082839603119
-661.6146627381588,-661.6024068703633,-661.7474329467218,-661.661241295208,-661.6490918491317,-661.6029581981085
-661.8216322199188,-661.8081919718984,-661.966344764457,-661.8723144057733,-661.859048857052,-661.8089203055439
-662.0402207757281,-662.0255212525644,-662.1975588502404,-662.0952314825738,-662.0807864567563,-662.0264535305678
-662.2707099164633,-662.2546737141793,-662.4413748292338,-662.3302791981748,-662.3145897435563,-662.2558390241115
-662.5133791085505,-662.4959262862733,-662.6980902979288,-662.5777421484679,-662.5607417382165,-662.4973559373234
-662.7685058727103,-662.7495539272843,-662.9680009313382,-662.8379029541802,-662.8195234871177,-662.7512815188685
-663.0363658819601,-663.0158297186923,-663.2514005933563,-663.1110423627811,-663.0912141634127,-663.0178912121388
-663.3172330618153,-663.2950249643782,-663.5485814473183,-663.397439351923,-663.3760911693964,-663.2974587543118
-663.6113796892924,-663.5874092894356,-663.8598340660342,-663.6973712330307,-663.6744302381134,-663.5902562753181
-663.9190764930004,-663.8932507392772,-664.1854475455218,-664.0111137547487,-663.9865055377875,-663.8965543988091
-664.2405927556011,-664.2128158783626,-664.5257096159107,-664.338941208905,-664.312589773756,-664.2166223407464
-664.5761964140297,-664.5463698908117,-664.8809067545099,-664.6811265342525,-664.6529542935591,-664.5507280111731
-664.926154161323,-664.8941766822139,-665.251324301556,-665.0379414227207,-665.0078691914787,-664.8991381167584
-665.2907315500687,-665.2564989776855,-665.637246572136,-665.4096564255951,-665.377603413364,-665.2621182615518
-665.6701930947382,-665.6335984259173,-666.0389569737373,-665.7965410601074,-665.7624248622238,-665.6399330502265
-666.0648023747269,-666.0257357001858,-666.4567381201921,-666.1988639157596,-666.1626005030487,-666.0328461903504
-666.4748221388078,-666.433170599048,-666.8908719482745,-666.6168927613882,-666.5783964706271,-666.4411205971969
-666.9005144080945,-666.8561621492507,-667.3416398344497,-667.0508946547196,-667.0100781750459,-666.8650184963308
-667.3421405804178,-667.2949687096282,-667.809322712345,-667.5011360478622,-667.4579104084322,-667.3048015282146
-667.7999615363634,-667.7498480722909,-668.294201189818,-667.9678828972864,-667.9221574529066,-667.7607308533884
-668.274237743307,-668.2210575658902,-668.796555667299,-668.4514007715817,-668.403083187728,-668.2330672570249
-668.7652293602613,-668.7088541604605,-669.3166664563261,-668.9519549606094,-668.9009511970495,-668.7220712544508
-669.2731963443794,-669.2134945691574,-669.8548138986926,-669.4698105849095,-669.4160248770875,-669.2280031961787
-669.7983985559823,-669.735235352233,-670.4112784859794,-670.0052327039024,-669.9485675461673,-669.7511233757638
-670.3410958659431,-670.2743330225838,-670.98634097862,-670.5584864269586,-670.4988425510356,-670.2916921345144
-670.9015482598662,-670.8310441479634,-671.5802825269635,-671.1298370223589,-671.0671133779906,-670.8499699682602
-671.480015946492,-671.4056254559131,-672.1933847917661,-671.7195500271549,-671.6536437596712,-671.4262176353411
-672.0767594637672,-671.9983339388389,-672.8259300649546,-672.3278913581199,-672.2586977853351,-672.0206962628343
-672.6920397855162,-672.6094269574755,-673.4782013910929,-672.9551274216017,-672.8825400097004,-672.633667455228
-673.3261184295536,-673.2391623459671,-674.150482688887,-673.601525224052,-673.5254355632993,-673.2653934005775
-673.9792575630435,-673.8877985173933,-674.8430588732141,-674.2673524835086,-674.1876502606642,-673.9161369796923
-674.6517201128695,-674.5555945673135,-675.5562159785705,-674.9528777396151,-674.8694507108687,-674.5861618744863
-675.3437698706231,-675.2428103795613,-676.2902412808521,-675.6583704654827,-675.5711044278427,-675.2757326755809
-676.0556716022498,-675.9497067319585,-677.0454234204652,-676.3841011781343,-676.2928799398018,-675.9851149923026
-676.7876911550089,-676.6765454002604,-677.822052526964,-677.1303415506044,-677.0350468998665,-676.714575561083
-677.5400955655374,-677.4235892636594,-678.6204203417626,-677.8973645223988,-677.797876196143,-677.4643823541242
-678.3131531691419,-678.1911024105285,-679.4408203431258,-678.6854444117923,-678.5816400623492,-678.2348046899853
-679.1071337077284,-678.9793502443032,-680.2835478694944,-679.4948570286057,-679.3866121893351,-679.0261133427836
-679.9223084379553,-679.7885995878419,-681.1489002454938,-680.3258797835564,-680.2130678336952,-679.8385806518736
-680.7589502397695,-680.6191187885139,-682.0371769072416,-681.1787918025682,-681.0612839306714,-680.6724806321733
-681.6173337265895,-681.4711778255336,-682.9486795271205,-682.053874037737,-681.9315392032687,-681.5280890846773
-682.4977353530433,-682.3450484140121,-683.8837121396971,-682.9514093790444,-682.8241142743791,-682.4056837071666
-683.400433524496,-683.2410041113316,-684.8425812680648,-683.8716827673904,-683.7392917778765,-683.30554420439
-684.3257087053738,-684.1593204222571,-685.825596050835,-684.8149813065868,-684.6773564695186,-684.2279523990703
-685.273843528772,-685.1002749043262,-686.8330683688524,-685.7815943760708,-685.6385953376782,-685.173192343942
-686.2451229072582,-686.0641472741031,-687.8653129713192,-686.7718137432547,-686.6232977154732,-686.1415504325381
-687.2398341403809,-687.0512195126972,-688.9226476048797,-687.7859336748542,-687.631755392012,-687.1333155107295
-688.2582670241669,-688.0617759706922,-690.0053931395163,-688.8242510511211,-688.6642627231292,-688.1487789883872
-689.300713962752,-689.096103474233,-691.1138736987822,-689.8870654783088,-689.7211167431904,-689.188234951937
-690.367470075867,-690.1544914307736,-692.2484167872049,-690.9746793993684,-690.8026172772544,-690.2519802758087
-691.4588333094581,-691.2372319335275,-693.4093534181785,-692.087398208879,-691.9090670509538,-691.3403147349409
-692.5751045449233,-692.3446198681125,-694.5970182447367,-693.2255303644552,-693.040771804184,-692.4535411180294
-693.7165877100628,-693.4769530170119,-695.8117496863713,-694.3893875001474,-694.1980403998404,-693.591965339048
-694.8835898874196,-694.6345321652773,-697.0538900612817,-695.579284538327,-695.3811849378457,-694.7558965501364
-696.076421425546,-695.8176612052916,-698.3237857160578,-696.7955398025649,-696.5905208659145,-695.9456472559037
-697.295396047075,-697.0266472423347,-699.6217871525312,-698.0384751306124,-697.8263670894613,-697.161533425043
-698.5408309594997,-698.2618006983979,-700.9482491615406,-699.3084159863517,-699.0890460853287,-698.4038746040095
-699.8130469660672,-699.5234354187714,-702.3035309519832,-700.6056915723896,-700.378884011265,-699.6729940308547
-701.1123685734101,-700.8118687748198,-703.6879962823964,-701.9306349420036,-701.6962108175626,-700.969218748326
-702.4391241024298,-702.1274217684406,-705.1020135904503,-703.2835831120973,-703.0413603583603,-702.2928797163743
-703.7936457973708,-703.4704191383825,-706.5459561254969,-704.6648771741906,-704.4146705019947,-703.6443119278858
-705.1762699356408,-704.8411894610325,-708.020202079089,-706.0748624068361,-705.8164832417634,-705.0238545207732
-706.5873369363086,-706.2400652557908,-709.5251347173212,-707.5138883874912,-707.2471448075295,-706.4318508916426
-708.0271914700279,-707.6673830882618,-711.0611425101328,-708.982309102902,-708.7070057743601,-707.8686488105083
-709.4961825681646,-709.1234836728897,-712.6286192653128,-710.4804830612836,-710.1964211734535,-709.3346005332536
-710.9946637301883,-710.6087119755782,-714.2279642587839,-712.0087734025107,-711.7157506012685,-710.8300629155226
-712.5229930331118,-712.1234173153952,-715.8595823659742,-713.5675480074216,-713.2653583291392,-712.3553975274705
-714.0815332399163,-713.6679534679565,-717.5238841936072,-715.1571796102974,-714.8456134125494,-713.910970765856
-715.6706519063076,-715.2426787641846,-719.2212862113201,-716.7780459057027,-716.4568897989263,-715.4971539674783
-717.2907214884406,-716.8479561931936,-720.9522108826615,-718.4305296596401,-718.0995664366235,-717.1143235229727
-718.9421194508319,-718.4841535005136,-722.7170867958467,-720.1150188174395,-719.7740273807367,-718.7628609893592
-720.625228370576,-720.1516432891002,-724.5163487945017,-721.8319066103276,-721.4806619014236,-720.4431532029977
-722.3404360456003,-721.8508031166764,-726.3504381085272,-723.5815916639551,-723.2198645901665,-722.1555923913543
-724.0881355995242,-723.582015594983,-728.2198024840192,-725.3644781050889,-724.9920354649073,-723.9005762853752
-725.8687255850317,-725.3456684860987,-730.1248963125654,-727.1809756656406,-726.7975800750529,-725.6785082310927
-727.6826100895677,-727.142154798307,-732.0661807607299,-729.0314997900444,-728.6369096042079,-727.4897973015719
-729.5301988373508,-728.971872882818,-734.0441238980478,-730.916471736537,-730.5104409751126,-729.3348584061839
-731.4119072915623,-730.8352265260869,-736.0592008253683,-732.8363186815429,-732.4185969511764,-731.2141124010318
-733.3281567575385,-732.7326250445333,-738.111893801225,-734.7914738205433,-734.361806236419,-733.1279861992632
-735.2793744809777,-734.6644833760295,-740.2026923682068,-736.7823764688079,-736.3405035758832,-735.0769128788196
-737.2659937485105,-736.6312221702998,-742.3320934784862,-738.8094721612715,-738.3551298547213,-737.0613317906256
-739.288453985265,-738.6332678786644,-744.5006016165964,-740.8732127483091,-740.4061321937431,-739.0816886648693
-741.3472008524072,-740.6710528406194,-746.7087289244143,-742.974056494744,-742.4939640482238,-741.138435719395
-743.4426863418764,-742.7450153717916,-748.9569953203476,-745.112468172061,-744.6190852970643,-743.2320317617454
-745.5753688704034,-744.8555998469152,-751.2459286200954,-747.2889191530419,-746.781962340912,-745.3629422945857
-747.7457133724988,-747.0032567837446,-753.5760646553733,-749.5038875010999,-748.9830681885811,-747.5316396177865
-749.9541913898079,-749.1884429227711,-755.9479473911817,-751.7578580599936,-751.2228825472638,-749.7386029299522
-752.2012811616069,-751.4116213065279,-758.3621290387089,-754.0513225412664,-753.5018919092934,-751.9843184275562
-754.4874677106109,-753.6732613559046,-760.8191701695646,-756.3847796075985,-755.8205896360195,-754.2692794032652
-756.8132429274284,-755.9738389441899,-763.3196398258029,-758.7587349549702,-758.179476039978,-756.5939863420949
-759.1791056533286,-758.3138364696007,-765.8641156274372,-761.1737013928532,-760.5790584641967,-758.9589470163788
-761.5855617599334,-760.6937429231394,-768.4531838777446,-763.6301989203164,-763.0198513591671,-761.3646765773781
-764.0331242270194,-763.1140539553874,-771.0874396668355,-766.1287547986934,-765.5023763567855,-763.8116976457828
-766.5223132174134,-765.5752719401629,-773.7674869706977,-768.6699036245145,-768.0271623408455,-766.3005404001535
-769.053656147884,-768.0779060345894,-776.4939387464063,-771.2541873940652,-770.5947455153449,-768.8317426620151
-771.6276877582721,-770.622472235739,-779.2674170268228,-773.8821555675797,-773.2056694675911,-771.4058499779475
