SP,num,Seq,ILU,ILURes,SORC
9.14168389094261e-06,1.0031569551967757e-05,9.950386842176329e-06,9.40583336885119e-06,1.0743072963926537e-05,1.0944569676804684e-05
-0.0002207456466556927,-0.0002199258550400643,-0.00021911566439711516,-0.00022017678617656744,-0.00021892474414729436,-0.00021904156705848551
-0.0009104237203002339,-0.0009098099670579025,-0.0009063188035870567,-0.0009089382851002732,-0.0009079358431117193,-0.0009090059051692638
-0.002059890294116476,-0.002059622420097535,-0.002051659773649312,-0.002056883345990222,-0.0020562912709361785,-0.0020589416740536704
-0.0036691090249658725,-0.0036693294892912315,-0.003655101984131558,-0.0036639789656204794,-0.003663959462340151,-0.0036688077819305594
-0.005738007336407206,-0.005738861677450585,-0.005716575205609625,-0.005730158358119159,-0.005730871357185146,-0.005738526481283895
-0.008266477237320517,-0.0082681124931904,-0.008235973073061724,-0.008255317825850076,-0.008256922749258225,-0.008267985602954279
-0.011254374411047133,-0.011256941273385042,-0.011213153284003236,-0.011239318623269556,-0.011241974212289396,-0.01125703641062217
-0.014701520340237023,-0.01470517135975578,-0.014647938417583375,-0.014681986613970896,-0.014685849371186875,-0.014705495629660108
-0.018607698919205034,-0.018612591356510007,-0.01854011458368954,-0.018583111042652714,-0.01858833800289565,-0.018613143228927997
-0.022972660532574147,-0.022978951316436527,-0.022889434114488825,-0.02294244569197739,-0.022949193491275274,-0.02297972383327425
-0.027796118679027523,-0.027803967947243366,-0.027695612680883094,-0.0277597100132249,-0.02776813252267035,-0.027804947085314884
-0.03307775152690478,-0.03308732298197533,-0.03295833044375533,-0.033034587298783245,-0.03304483828519884,-0.03308848718932149
-0.03881720203853139,-0.03882866094996852,-0.03867723325258651,-0.03876672515647956,-0.03877895778800934,-0.03882998288931181
-0.04501407797171422,-0.0450275920482079,-0.044851930841279676,-0.04495573511802048,-0.04497010148433155,-0.045029036514968875
-0.05166795155618388,-0.051683690068114796,-0.05148199789711394,-0.051601195299835714,-0.05161784608767605,-0.05168521658084127
-0.058778359298327774,-0.058796494621760925,-0.058566973684054495,-0.05870264640229058,-0.05872173134402832,-0.058798055132574606
-0.06634480261664297,-0.0663655095472347,-0.06610636229346827,-0.06625959423516181,-0.0662812642171567,-0.06636704927306515
