R,Height1,Height2,Height3
0,-100.22941285148147,-124.80943291135259,-150.02773098110464
3.333333333333348E-4,-100.19567654839581,-124.73618220003588,-149.89247458074905
6.666666666666661E-4,-100.16598437476374,-124.66424212777974,-149.75977532810128
0.0010000000000000009,-100.14033633058526,-124.5936126945842,-149.62963322316142
0.0013333333333333357,-100.11825962981925,-124.5242276954138,-149.50191458652358
0.001666666666666667,-100.09917318366402,-124.45602717851868,-149.37649867183887
0.0020000000000000018,-100.08307699211966,-124.38901114389883,-149.25338547910724
0.0023333333333333366,-100.06942595514627,-124.32312249306639,-149.1324601639101
0.002666666666666668,-100.0577532777117,-124.25830928574888,-149.013618506583
0.0030000000000000027,-100.04805895981598,-124.19457152194634,-148.89686050712592
0.0033333333333333375,-100.03991759328639,-124.13185962584058,-148.78208681733446
0.0036666666666666688,-100.03300796262174,-124.07012831326468,-148.66920689477428
0.0040000000000000036,-100.02733006782208,-124.00937758421868,-148.55822073944537
0.004333333333333338,-100.02259485664594,-123.94956413003614,-148.44904186374552
0.00466666666666667,-100.01859770562064,-123.89064824090296,-148.3415911373655
0.0050000000000000044,-100.0153386147462,-123.83262991681912,-148.23586856030536
0.005333333333333339,-100.01263472077872,-123.77547111093706,-148.13179840344029
0.0056666666666666705,-100.01036156855,-123.71913681616374,-148.02931113039165
0.006000000000000005,-100.00851915806008,-123.66362703249906,-147.92840674115945
0.00633333333333334,-100.00699674232503,-123.6089081624278,-147.82901857254282
0.006666666666666671,-100.00572092499218,-123.55494919308019,-147.73108520952485
0.007000000000000006,-100.00469170606156,-123.50175012445627,-147.63460665210556
0.007333333333333341,-100.00384395730768,-123.44928114612469,-147.53952392831783
0.007666666666666672,-100.00313533575887,-123.39751465887839,-147.44578254199635
0.008000000000000004,-100.00256584141513,-123.34645066271744,-147.35338249314117
0.008333333333333342,-100.00209797451122,-123.29606259024467,-147.26227137550072
0.008666666666666677,-100.00170770564513,-123.24632577662581,-147.17240062226526
0.009000000000000011,-100.00139503481685,-123.19724022186085,-147.08377023343488
0.009333333333333346,-100.00113871076061,-123.14878215137452,-146.99633344008961
0.009666666666666674,-100.00092526955764,-123.10092943627208,-146.91004678478697
0.010000000000000005,-100.00075471120793,-123.05368207655357,-146.82491026752695
0.010333333333333344,-100.00061514051504,-123.00701871537943,-146.74088198564007
0.010666666666666675,-100.00049908957865,-122.9609194264367,-146.6579229070483
0.011000000000000006,-100.00040655839878,-122.9153842097254,-146.57603303175162
0.011333333333333338,-100.00033095414746,-122.87039381167365,-146.49517467877496
0.011666666666666676,-100.00026816865584,-122.82593022795886,-146.41531266732784
0.012000000000000007,-100.00021820192393,-122.78199345858107,-146.3364469974104
0.012333333333333339,-100.00017742920672,-122.73856608803632,-146.25854366771065
0.012666666666666677,-100.00014360590406,-122.69563179648523,-146.18157086413837
0.013000000000000008,-100.00011673201594,-122.65319058392787,-146.10552858669354
0.013333333333333346,-100.00009482790665,-122.61122664804607,-146.03038605535153
0.013666666666666678,-100.00007667417785,-122.56972515138469,-145.95611441147312
0.014000000000000009,-100.0000622708296,-122.5286860939437,-145.88271365505832
0.01433333333333334,-100.00005054274688,-122.48809509491218,-145.81015583769477
0.014666666666666672,-100.00004083069456,-122.44793862639804,-145.7384147054223
0.015000000000000003,-100.00003313467263,-122.40821668840137,-145.66749025824095
0.015333333333333341,-100.0000268735853,-122.36891615744798,-145.59735704644038
0.015666666666666666,-100.00002169252112,-122.33002466673662,-145.52799112012977
0.016000000000000004,-100.00001759148007,-122.29154221626725,-145.45939247930923
0.016333333333333342,-100.00001425767238,-122.25345679865147,-145.39153788723317
0.016666666666666673,-100.00001150071652,-122.21575708006408,-145.32440543930434
0.017000000000000005,-100.00000932061253,-122.17844306050519,-145.25799513552275
0.017333333333333343,-100.00000754959457,-122.14150372661727,-145.1922857057831
0.017666666666666674,-100.00000608586174,-122.104928666546,-145.12725706707917
0.018000000000000006,-100.00000492941409,-122.06871788029137,-145.06290921941107
0.018333333333333344,-100.00000399055149,-122.03286124263093,-144.99922264608313
0.018666666666666668,-100.00000321499095,-121.99734916712345,-144.93617889152569
0.019000000000000006,-100.00000260273255,-121.96218165376892,-144.87377795573877
0.019333333333333345,-100.00000210594844,-121.92734937325045,-144.8120018901327
0.019666666666666676,-100.00000169576525,-121.89284348023811,-144.75083369742708
0.020000000000000007,-100.00000137218305,-121.85866397473197,-144.6902733776219
0.020333333333333346,-100.00000110976274,-121.82480224270147,-144.6303043885993
0.02066666666666667,-100.00000089318044,-121.79125010606772,-144.5709110434795
0.021,-100.00000072243624,-121.75800756483072,-144.51209334226252
0.021333333333333333,-100.00000058402905,-121.72506664953274,-144.45383600782043
0.021666666666666664,-100.00000046984229,-121.69241978441757,-144.3961245339319
0.021999999999999995,-100.00000037987596,-121.66006696948527,-144.3389589205969
0.022333333333333334,-100.00000030697889,-121.62800081762177,-144.28232503141854
0.022666666666666665,-100.00000024685968,-121.5962142981366,-144.22620942664443
0.022999999999999996,-100.00000019951837,-121.56470741102987,-144.17061210627455
0.023333333333333334,-100.00000016117389,-121.53347329659778,-144.11551996516593
0.02366666666666666,-100.00000012956095,-121.50250541857065,-144.06092052922256
0.023999999999999997,-100.00000010467954,-121.47180377694859,-144.0068137984446
0.024333333333333335,-100.00000008453382,-121.44136199080098,-143.95318760219425
0.02466666666666666,-100.00000006792975,-121.41117397335354,-143.90003034277197
0.02499999999999999,-100.0000000548673,-121.38123972460632,-143.84734202017782
0.02533333333333333,-100.00000004429448,-121.35155329921758,-143.79511131253395
0.02566666666666666,-100.00000003558277,-121.32210901994709,-143.74332741928123
0.025999999999999992,-100.00000002873222,-121.2929068867949,-143.6919903404197
0.026333333333333323,-100.00000002318899,-121.26394135156096,-143.64108952662804
0.026666666666666655,-100.0000000186227,-121.23520711090029,-143.59061490392799
0.026999999999999986,-100.00000001503336,-121.20670416481289,-143.54056647231957
0.027333333333333324,-100.00000001212985,-121.17842732792305,-143.49093438713732
0.02766666666666665,-100.00000000973856,-121.15037163891691,-143.44170923800414
0.027999999999999987,-100.0000000078596,-121.12253709779453,-143.3928910249201
0.028333333333333325,-100.00000000634003,-121.09491885129698,-143.34447054722048
0.02866666666666665,-100.00000000508882,-121.06751225158459,-143.29643900177967
0.028999999999999988,-100.00000000410604,-121.04031729865736,-143.24879638859773
0.029333333333333326,-100.00000000331141,-121.01332944383087,-143.20153409669518
0.02966666666666665,-100.00000000265726,-120.98654432708736,-143.15464387966213
0.02999999999999998,-100.00000000214361,-120.95996194842684,-143.10812573749865
0.030333333333333313,-100.00000000172841,-120.93357803898024,-143.06197160016242
0.030666666666666644,-100.00000000138665,-120.90738850345755,-143.01617373253418
0.030999999999999975,-100.00000000111838,-120.88139334185877,-142.97073213461408
0.03133333333333331,-100.00000000090158,-120.85558854282434,-142.9256392334471
0.03166666666666664,-100.00000000072313,-120.82997025495739,-142.8808877642868
