x,y
1,-0.286919393898442
2,-0.473467773826884
3,-0.256149351314613
4,-0.35141787531081
5,1.9511886437254
6,-0.21490485018723
7,-0.414268228026545
8,-0.453786457818166
9,-0.480962410821422
10,-0.386040735009577
11,-0.396354828309878
12,-0.397667812115533
13,-0.445471651429914
14,-0.40238312551605
15,-0.498722415122014
16,-0.430216665471562
17,-0.363572696306225
18,1.32506538829786
19,0.190723337366427
20,0.895859992073994
21,-0.119097093345214
22,-0.271643860791398
23,-0.320031708108258
24,-0.323842966011736
25,-0.302840295106105
26,-0.380212861876587
27,-0.44456001928053
28,-0.426027723060106
29,-0.511970245592521
30,-0.524752177667697
31,-0.503110439971487
32,-0.40252185711005
33,-0.483131413944066
34,-0.324418346534781
35,0.885583711580662
36,0.132767478640105
37,-0.315616976200762
38,-0.283850003710727
39,-0.082363411828272
40,-0.304475408823459
41,-0.380883940406055
42,-0.11763908623041
43,-0.352635247508097
44,-0.144758785289295
45,-0.299866601250221
46,-0.228438239767746
47,-0.280361729815252
48,-0.219634856166894
49,-0.337729750753365
50,-0.288249150270449
51,-0.302179434495968
52,0.59417613991435
53,-0.332435226706705
54,-0.27696470580069
55,0.342398985617291
56,1.22136397895909
57,1.00802250030153
58,-0.223827526586411
59,-0.259930342505072
60,-0.216043912066392
61,0.099610953913378
62,-0.248492437380433
63,-0.233309906590192
64,-0.245469593217369
65,-0.250179521329873
66,-0.239138892326985
67,-0.111626779178108
68,0.850111948814032
69,-0.111933239540315
70,-0.171115012384432
71,-0.113901357182906
72,-0.207628778300982
73,1.34426343794771
74,0.264370697861205
75,0.172904384486782
76,-0.145563842710157
77,-0.14608188687396
78,0.549674071887488
79,0.037013830267269
80,-0.148778660531079
81,0.565756849573656
82,-0.131359047754923
83,0.003028865871908
84,1.20444577837666
85,0.177808783146861
86,-0.050347573882088
87,-0.087087323116875
88,-0.127824874493943
89,-0.110690774452547
90,-0.110709881805435
91,-0.088452662750718
92,-0.087939524491446
93,-0.096496961073281
94,0.042343874911202
95,-0.084097553963203
96,0.245388988444422
97,-0.085849567475342
98,-0.074867987932647
99,0.264196330892103
100,0.173490894201276
101,0.414538943409651
102,-0.0559874130482
103,-0.075296647606485
104,-0.080599339229414
105,-0.041957224754592
106,-0.05069159918278
107,2.9949966246182
108,0.004361994471982
109,-0.04070407616913
110,-0.052293071976534
111,-0.056973592809712
112,-0.032365807453753
113,-0.043672397252834
114,-0.050126714142595
115,0.064651148922215
116,-0.043305521814072
117,-0.039364987345468
118,-0.034915713767876
119,-0.041700176300276
120,-0.042547253064685
121,-0.018315239588858
122,-0.020269426054238
123,-0.018279814017768
124,-0.016099719758416
125,-0.015470242959605
126,-0.015695997406126
127,-0.010749434825509
128,-0.014319645727296
129,-0.017396850628888
130,0.106138989948756
131,-0.013141722912312
132,-0.013443261842389
133,0.009446360893995
134,-0.010098398116576
135,-0.013779734185451
136,-0.016581968259566
137,0.634683415512059
138,2.67841224925413
139,0.606994686222886
140,-0.005288230077723
141,-0.006023762245736
142,-0.006052027706039
143,0.003708514764809
144,0.205956865975334
145,-0.0039873729597
146,-0.005679020488864
147,0.205571201521934
148,-0.003699881245433
149,-0.005143583013367
150,-0.005096860030809
151,-0.006097490065881
152,-0.006761746389848
153,0.114319538773371
154,-0.006283715441167
