0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0,0.0
0.0,0.0
1.433281042516765e-29,4.15344871203445e-11
4.0618921513095317e-29,8.512700471517758e-11
6.792929873725982e-29,1.299264885092844e-10
9.60022060833352e-29,1.759340865845298e-10
1.248387104580179e-28,2.231509580987901e-10
1.5444055885287523e-28,2.715782734699883e-10
1.8480948889293912e-28,3.21217214383907e-10
2.159472291025645e-28,3.7206897379683237e-10
2.4785549929260947e-28,4.24134755934043e-10
2.8053601103206718e-28,4.774157762849841e-10
3.1399046818414585e-28,5.319132615958256e-10
3.4822056748983057e-28,5.876284498599907e-10
3.8322799918470197e-28,6.445625903071462e-10
4.190144476370749e-28,7.02716943391066e-10
4.555815919975814e-28,7.620927807767172e-10
4.929311068520105e-28,8.226913853268606e-10
5.310646628707594e-28,8.845140510884145e-10
5.699839274494681e-28,9.475620832787826e-10
6.096905653365616e-28,1.0118367982723298e-09
6.501862392442907e-28,1.0773395235871341e-09
6.914726104407129e-28,1.144071597872164e-09
7.335513393206597e-28,1.2120343708949484e-09
7.7642408595435535e-28,1.2812292035298533e-09
8.200925106127706e-28,1.3516574677470214e-09
8.64558274269234e-28,1.4233205466020229e-09
9.098230390770965e-28,1.496219834226291e-09
9.558884688235672e-28,1.5703567358183424e-09
1.0027562293599837e-27,1.6457326676358431e-09
1.0504279890090327e-27,1.722349056988522e-09
1.0989054189494965e-27,1.800207342231971e-09
1.1481901935792616e-27,1.8793089727623258e-09
1.1982839908573634e-27,1.959655409011837e-09
1.2491884926259404e-27,2.041248122445334e-09
1.3009053849129514e-27,2.1240885955576135e-09
1.3534363582165995e-27,2.208178321871717e-09
1.406783107772349e-27,2.293518805938095e-09
1.4609520673543688e-27,2.380112920676077e-09
1.5155443826903733e-27,2.466811316154003e-09
1.5702354785105359e-27,2.5535890976217223e-09
1.6250178451999157e-27,2.6404463695043683e-09
1.6798916093787726e-27,2.7273832364837765e-09
1.734856914923129e-27,2.8143998034541152e-09
1.7899139032467698e-27,2.901496175521897e-09
1.8450627135610326e-27,2.9886724580060484e-09
1.900303483109696e-27,3.0759287564380284e-09
1.9556363473809662e-27,3.1632651765619905e-09
