WP,gs
-0.8,220.12
-0.8,219.44
-0.8,218.75
-0.8,218.07
-0.8,217.39
-0.8,216.71
-0.81,216.03
-0.81,215.35
-0.81,214.67
-0.81,214
-0.81,213.32
-0.81,212.64
-0.81,211.96
-0.82,211.28
-0.82,210.6
-0.82,209.93
-0.82,209.25
-0.82,208.57
-0.82,207.9
-0.82,207.22
-0.83,206.55
-0.83,205.87
-0.83,205.2
-0.83,204.52
-0.83,203.85
-0.83,203.18
-0.83,202.5
-0.84,201.83
-0.84,201.16
-0.84,200.49
-0.84,199.82
-0.84,199.15
-0.84,198.48
-0.84,197.81
-0.85,197.14
-0.85,196.47
-0.85,195.8
-0.85,195.14
-0.85,194.47
-0.85,193.8
-0.85,193.14
-0.85,192.47
-0.86,191.81
-0.86,191.15
-0.86,190.48
-0.86,189.82
-0.86,189.16
-0.86,188.5
-0.86,187.84
-0.87,187.18
-0.87,186.52
-0.87,185.87
-0.87,185.21
-0.87,184.55
-0.87,183.9
-0.87,183.24
-0.88,182.59
-0.88,181.94
-0.88,181.28
-0.88,180.63
-0.88,179.98
-0.88,179.33
-0.88,178.68
-0.89,178.04
-0.89,177.39
-0.89,176.74
-0.89,176.1
-0.89,175.45
-0.89,174.81
-0.89,174.17
-0.9,173.53
-0.9,172.89
-0.9,172.25
-0.9,171.61
-0.9,170.97
-0.9,170.33
-0.9,169.7
-0.91,169.06
-0.91,168.43
-0.91,167.79
-0.91,167.16
-0.91,166.53
-0.91,165.9
-0.91,165.27
-0.92,164.65
-0.92,164.02
-0.92,163.39
-0.92,162.77
-0.92,162.15
-0.92,161.52
-0.92,160.9
-0.93,160.28
-0.93,159.66
-0.93,159.04
-0.93,158.43
-0.93,157.81
-0.93,157.2
-0.93,156.58
-0.93,155.97
-0.94,155.36
-0.94,154.75
-0.94,154.14
-0.94,153.53
-0.94,152.93
-0.94,152.32
-0.94,151.72
-0.95,151.12
-0.95,150.52
-0.95,149.92
-0.95,149.32
-0.95,148.72
-0.95,148.12
-0.95,147.53
-0.96,146.93
-0.96,146.34
-0.96,145.75
-0.96,145.16
-0.96,144.57
-0.96,143.98
-0.96,143.4
-0.97,142.81
-0.97,142.23
-0.97,141.65
-0.97,141.06
-0.97,140.48
-0.97,139.91
-0.97,139.33
-0.98,138.75
-0.98,138.18
-0.98,137.61
-0.98,137.04
-0.98,136.46
-0.98,135.9
-0.98,135.33
-0.99,134.76
-0.99,134.2
-0.99,133.63
-0.99,133.07
-0.99,132.51
-0.99,131.95
-0.99,131.4
-1,130.84
-1,130.29
-1,129.73
-1,129.18
-1,128.63
-1,128.08
-1,127.53
-1,126.99
-1.01,126.44
-1.01,125.9
-1.01,125.36
-1.01,124.82
-1.01,124.28
-1.01,123.74
-1.01,123.2
-1.02,122.67
-1.02,122.14
-1.02,121.61
-1.02,121.08
-1.02,120.55
-1.02,120.02
-1.02,119.49
-1.03,118.97
-1.03,118.45
-1.03,117.93
-1.03,117.41
-1.03,116.89
-1.03,116.37
-1.03,115.86
-1.04,115.34
-1.04,114.83
-1.04,114.32
-1.04,113.81
-1.04,113.3
-1.04,112.8
-1.04,112.29
-1.05,111.79
-1.05,111.29
-1.05,110.79
-1.05,110.29
-1.05,109.8
-1.05,109.3
-1.05,108.81
-1.06,108.31
-1.06,107.82
-1.06,107.34
-1.06,106.85
-1.06,106.36
-1.06,105.88
-1.06,105.39
-1.07,104.91
-1.07,104.43
-1.07,103.96
-1.07,103.48
-1.07,103
-1.07,102.53
-1.07,102.06
-1.07,101.59
-1.08,101.12
-1.08,100.65
-1.08,100.19
-1.08,99.72
-1.08,99.26
-1.08,98.8
-1.08,98.34
-1.09,97.88
-1.09,97.42
-1.09,96.97
-1.09,96.52
-1.09,96.06
-1.09,95.61
-1.09,95.17
-1.1,94.72
-1.1,94.27
-1.1,93.83
-1.1,93.39
-1.1,92.95
-1.1,92.51
-1.1,92.07
-1.11,91.63
-1.11,91.2
-1.11,90.77
-1.11,90.33
-1.11,89.9
-1.11,89.48
-1.11,89.05
-1.12,88.62
-1.12,88.2
-1.12,87.78
-1.12,87.36
-1.12,86.94
-1.12,86.52
-1.12,86.1
-1.13,85.69
-1.13,85.28
-1.13,84.87
-1.13,84.46
-1.13,84.05
-1.13,83.64
-1.13,83.24
-1.14,82.83
-1.14,82.43
-1.14,82.03
-1.14,81.63
-1.14,81.23
-1.14,80.84
-1.14,80.44
-1.15,80.05
-1.15,79.66
-1.15,79.27
-1.15,78.88
-1.15,78.49
-1.15,78.11
-1.15,77.72
-1.15,77.34
-1.16,76.96
-1.16,76.58
-1.16,76.2
-1.16,75.82
-1.16,75.45
-1.16,75.08
-1.16,74.7
-1.17,74.33
-1.17,73.96
-1.17,73.6
-1.17,73.23
-1.17,72.87
-1.17,72.5
-1.17,72.14
-1.18,71.78
-1.18,71.42
-1.18,71.07
-1.18,70.71
-1.18,70.36
-1.18,70
-1.18,69.65
-1.19,69.3
-1.19,68.95
-1.19,68.61
-1.19,68.26
-1.19,67.92
-1.19,67.57
-1.19,67.23
-1.2,66.89
-1.2,66.55
-1.2,66.22
-1.2,65.88
-1.2,65.55
-1.2,65.21
-1.2,64.88
-1.21,64.55
-1.21,64.22
-1.21,63.9
-1.21,63.57
-1.21,63.25
-1.21,62.92
-1.21,62.6
-1.22,62.28
-1.22,61.96
-1.22,61.65
-1.22,61.33
-1.22,61.01
-1.22,60.7
-1.22,60.39
-1.22,60.08
-1.23,59.77
-1.23,59.46
-1.23,59.16
-1.23,58.85
-1.23,58.55
-1.23,58.24
-1.23,57.94
-1.24,57.64
-1.24,57.34
-1.24,57.05
-1.24,56.75
-1.24,56.46
-1.24,56.16
-1.24,55.87
-1.25,55.58
-1.25,55.29
-1.25,55
-1.25,54.72
-1.25,54.43
-1.25,54.15
-1.25,53.87
-1.26,53.58
-1.26,53.3
-1.26,53.02
-1.26,52.75
-1.26,52.47
-1.26,52.2
-1.26,51.92
-1.27,51.65
-1.27,51.38
-1.27,51.11
-1.27,50.84
-1.27,50.57
-1.27,50.3
-1.27,50.04
-1.28,49.77
-1.28,49.51
-1.28,49.25
-1.28,48.99
-1.28,48.73
-1.28,48.47
-1.28,48.22
-1.29,47.96
-1.29,47.71
-1.29,47.45
-1.29,47.2
-1.29,46.95
-1.29,46.7
-1.29,46.45
-1.29,46.21
-1.3,45.96
-1.3,45.71
-1.3,45.47
-1.3,45.23
-1.3,44.99
-1.3,44.75
-1.3,44.51
-1.31,44.27
-1.31,44.03
-1.31,43.8
-1.31,43.56
-1.31,43.33
-1.31,43.1
-1.31,42.87
-1.32,42.64
-1.32,42.41
-1.32,42.18
-1.32,41.95
-1.32,41.73
-1.32,41.5
-1.32,41.28
-1.33,41.06
-1.33,40.83
-1.33,40.61
-1.33,40.4
-1.33,40.18
-1.33,39.96
-1.33,39.74
-1.34,39.53
-1.34,39.32
-1.34,39.1
-1.34,38.89
-1.34,38.68
-1.34,38.47
-1.34,38.26
-1.35,38.05
-1.35,37.85
-1.35,37.64
-1.35,37.44
-1.35,37.23
-1.35,37.03
-1.35,36.83
-1.36,36.63
-1.36,36.43
-1.36,36.23
-1.36,36.03
-1.36,35.84
-1.36,35.64
-1.36,35.45
-1.37,35.25
-1.37,35.06
-1.37,34.87
-1.37,34.68
-1.37,34.49
-1.37,34.3
-1.37,34.11
-1.37,33.93
-1.38,33.74
-1.38,33.55
-1.38,33.37
-1.38,33.19
-1.38,33
-1.38,32.82
-1.38,32.64
-1.39,32.46
-1.39,32.29
-1.39,32.11
-1.39,31.93
-1.39,31.75
-1.39,31.58
-1.39,31.41
-1.4,31.23
-1.4,31.06
-1.4,30.89
-1.4,30.72
-1.4,30.55
-1.4,30.38
-1.4,30.21
-1.41,30.05
-1.41,29.88
-1.41,29.71
-1.41,29.55
-1.41,29.39
-1.41,29.22
-1.41,29.06
-1.42,28.9
-1.42,28.74
-1.42,28.58
-1.42,28.42
-1.42,28.26
-1.42,28.11
-1.42,27.95
-1.43,27.79
-1.43,27.64
-1.43,27.49
-1.43,27.33
-1.43,27.18
-1.43,27.03
-1.43,26.88
-1.44,26.73
-1.44,26.58
-1.44,26.43
-1.44,26.29
-1.44,26.14
-1.44,25.99
-1.44,25.85
-1.44,25.7
-1.45,25.56
-1.45,25.42
-1.45,25.27
-1.45,25.13
-1.45,24.99
-1.45,24.85
-1.45,24.71
-1.46,24.58
-1.46,24.44
-1.46,24.3
-1.46,24.16
-1.46,24.03
-1.46,23.89
-1.46,23.76
-1.47,23.63
-1.47,23.49
-1.47,23.36
-1.47,23.23
-1.47,23.1
-1.47,22.97
-1.47,22.84
-1.48,22.71
-1.48,22.59
-1.48,22.46
-1.48,22.33
-1.48,22.21
-1.48,22.08
-1.48,21.96
-1.49,21.83
-1.49,21.71
-1.49,21.59
-1.49,21.47
-1.49,21.34
-1.49,21.22
-1.49,21.1
-1.5,20.99
-1.5,20.87
-1.5,20.75
-1.5,20.63
-1.5,20.52
-1.5,20.4
-1.5,20.28
-1.51,20.17
-1.51,20.06
-1.51,19.94
-1.51,19.83
-1.51,19.72
-1.51,19.6
-1.51,19.49
-1.52,19.38
-1.52,19.27
-1.52,19.16
-1.52,19.06
-1.52,18.95
-1.52,18.84
-1.52,18.73
-1.52,18.63
-1.53,18.52
-1.53,18.42
-1.53,18.31
-1.53,18.21
-1.53,18.1
-1.53,18
-1.53,17.9
-1.54,17.8
-1.54,17.7
-1.54,17.59
-1.54,17.49
-1.54,17.39
-1.54,17.3
-1.54,17.2
-1.55,17.1
-1.55,17
-1.55,16.91
-1.55,16.81
-1.55,16.71
-1.55,16.62
-1.55,16.52
-1.56,16.43
-1.56,16.33
-1.56,16.24
-1.56,16.15
-1.56,16.06
-1.56,15.97
-1.56,15.87
-1.57,15.78
-1.57,15.69
-1.57,15.6
-1.57,15.51
-1.57,15.43
-1.57,15.34
-1.57,15.25
-1.58,15.16
-1.58,15.08
-1.58,14.99
-1.58,14.9
-1.58,14.82
-1.58,14.73
-1.58,14.65
-1.59,14.57
-1.59,14.48
-1.59,14.4
-1.59,14.32
-1.59,14.23
-1.59,14.15
-1.59,14.07
-1.59,13.99
-1.6,13.91
-1.6,13.83
-1.6,13.75
-1.6,13.67
-1.6,13.59
-1.6,13.52
-1.6,13.44
-1.61,13.36
-1.61,13.28
-1.61,13.21
-1.61,13.13
-1.61,13.06
-1.61,12.98
-1.61,12.91
-1.62,12.83
-1.62,12.76
-1.62,12.69
-1.62,12.61
-1.62,12.54
-1.62,12.47
-1.62,12.4
-1.63,12.32
-1.63,12.25
-1.63,12.18
-1.63,12.11
-1.63,12.04
-1.63,11.97
-1.63,11.9
-1.64,11.84
-1.64,11.77
-1.64,11.7
-1.64,11.63
-1.64,11.57
-1.64,11.5
-1.64,11.43
-1.65,11.37
-1.65,11.3
-1.65,11.24
-1.65,11.17
-1.65,11.11
-1.65,11.04
-1.65,10.98
-1.66,10.91
-1.66,10.85
-1.66,10.79
-1.66,10.73
-1.66,10.66
-1.66,10.6
-1.66,10.54
-1.66,10.48
-1.67,10.42
-1.67,10.36
-1.67,10.3
-1.67,10.24
-1.67,10.18
-1.67,10.12
-1.67,10.06
-1.68,10.01
-1.68,9.95
-1.68,9.89
-1.68,9.83
-1.68,9.78
-1.68,9.72
-1.68,9.66
-1.69,9.61
-1.69,9.55
-1.69,9.5
-1.69,9.44
-1.69,9.39
-1.69,9.33
-1.69,9.28
-1.7,9.22
-1.7,9.17
-1.7,9.12
-1.7,9.06
