Exud_tot,Exud_liq,Exud_ads,Exud_ads_soil,Exud_ads_roots,Exud_decay
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
4.545128683725637e-08,2.482518435387479e-09,4.275350092634058e-08,0.0,4.275350092634058e-08,2.15267475528308e-10
9.216511219145326e-08,2.5607103420939815e-09,8.915467119446626e-08,0.0,8.915467119446625e-08,4.497306548930486e-10
1.4014147339522426e-07,2.6414547206541896e-09,1.3680847403366232e-07,0.0,1.3680847403366232e-07,6.915446409078229e-10
1.8938037045254036e-07,2.7226483731308926e-09,1.8571696320013882e-07,0.0,1.8571696320013884e-07,9.407588792707685e-10
2.3988180336452786e-07,2.804290532747015e-09,2.3588010043120336e-07,0.0,2.3588010043120336e-07,1.1974124005774906e-09
2.9164577213227167e-07,2.8863484146150104e-09,2.872978820032022e-07,0.0,2.872978820032022e-07,1.4615417144544752e-09
3.4467227675684784e-07,2.968844559939037e-09,3.399702472690183e-07,0.0,3.3997024726901824e-07,1.7331849278904519e-09
3.9896131723935815e-07,3.05178024651747e-09,3.938971566272452e-07,0.0,3.9389715662724527e-07,2.012380365595257e-09
4.545128935809066e-07,3.1351567622894442e-09,4.490785703494435e-07,0.0,4.4907857034944354e-07,2.299166469173703e-09
5.113270057826005e-07,3.2189753876175746e-09,5.05514448598992e-07,0.0,5.055144485989921e-07,2.593581795990672e-09
5.694036538455491e-07,3.3032373943344215e-09,5.632047514333037e-07,0.0,5.632047514333037e-07,2.8956650179105554e-09
6.287428377708627e-07,3.3879440448857923e-09,6.221494388059789e-07,0.0,6.221494388059789e-07,3.2054549199979634e-09
6.893445575596559e-07,3.473096591568661e-09,6.82348470568901e-07,0.0,6.82348470568901e-07,3.52299039918617e-09
7.512088132130442e-07,3.5586962758899886e-09,7.438018064742345e-07,0.0,7.438018064742347e-07,3.848310462919568e-09
8.143356047321468e-07,3.6447443280196444e-09,8.065094061763506e-07,0.0,8.065094061763507e-07,4.181454227776429e-09
8.787249321180841e-07,3.731241966340109e-09,8.704712292336661e-07,0.0,8.704712292336662e-07,4.522460918077505e-09
9.44376795371977e-07,3.818190352683158e-09,9.35687235093197e-07,0.0,9.35687235093197e-07,4.871369926096897e-09
1.0112911944949518e-06,3.90559070173021e-09,1.002157383077774e-06,0.0,1.002157383077774e-06,5.228220715447853e-09
1.0794681294881344e-06,3.993444215671545e-09,1.0698816324485643e-06,0.0,1.0698816324485643e-06,5.59305282389901e-09
1.1489076003526558e-06,4.0817520627936106e-09,1.1388599423987073e-06,0.0,1.1388599423987075e-06,5.965905891154445e-09
1.2196096070896434e-06,4.1705153984456515e-09,1.2090922720338488e-06,0.0,1.2090922720338488e-06,6.346819657349246e-09
1.2915741497002347e-06,4.259735364966237e-09,1.2805785803736136e-06,0.0,1.2805785803736136e-06,6.735833961654508e-09
1.364801228185563e-06,4.349413091668503e-09,1.353318826352999e-06,0.0,1.353318826352999e-06,7.1329887408947554e-09
1.4392908425467635e-06,4.43954969486473e-09,1.4273129688237183e-06,0.0,1.4273129688237183e-06,7.538324028180507e-09
1.5150429927849782e-06,4.530146277927842e-09,1.502560966555492e-06,0.0,1.5025609665554921e-06,7.951879951558115e-09
1.5920576789013436e-06,4.6212039313893645e-09,1.5790627782372746e-06,0.0,1.5790627782372748e-06,8.373696732678998e-09
1.6703349008970042e-06,4.712723733062142e-09,1.656818362478452e-06,0.0,1.6568183624784521e-06,8.8038146854901e-09
1.7498746587731068e-06,4.804706748199747e-09,1.7358276778099597e-06,0.0,1.7358276778099597e-06,9.242274214947285e-09
1.8306769525307978e-06,4.89715402967209e-09,1.8160906826853726e-06,0.0,1.8160906826853728e-06,9.689115815753237e-09
1.9127417821712214e-06,4.9900666181734385e-09,1.8976073354819267e-06,0.0,1.8976073354819269e-06,1.0144380071121194e-08
1.996069147695526e-06,5.083445542446462e-09,1.9803775945015133e-06,0.0,1.9803775945015138e-06,1.0608107651566153e-08
2.080659049104866e-06,5.177291819530229e-09,2.064401417971611e-06,0.0,2.0644014179716116e-06,1.1080339313724266e-08
2.166511486400395e-06,5.2716064550196e-09,2.1496787640461734e-06,0.0,2.1496787640461734e-06,1.1561115899202005e-08
2.2536264595832655e-06,5.366390443353129e-09,2.2362095908064564e-06,0.0,2.2362095908064564e-06,1.2050478333455775e-08
2.342003968654631e-06,5.461644768105559e-09,2.323993856261821e-06,0.0,2.323993856261821e-06,1.2548467624703183e-08
2.4316440136156532e-06,5.557370402303791e-09,2.4130315183504817e-06,0.0,2.4130315183504817e-06,1.3055124862866743e-08
2.5225465944691646e-06,5.655090781230567e-09,2.503321105913057e-06,0.0,2.503321105913057e-06,1.3570397774877173e-08
2.613449175466597e-06,5.68004749781575e-09,2.5936808555968994e-06,0.0,2.5936808555968994e-06,1.4088272371882211e-08
2.704351756528115e-06,5.705129423166446e-09,2.684038244550555e-06,0.0,2.684038244550555e-06,1.4608382554392954e-08
2.7952543376539116e-06,5.73027041147377e-09,2.7743933337283665e-06,0.0,2.7743933337283665e-06,1.513073351407076e-08
2.886156918844092e-06,5.755470583977082e-09,2.8647461181524076e-06,0.0,2.8647461181524076e-06,1.565533010770716e-08
2.977059500098766e-06,5.780729982743441e-09,2.9550965929219617e-06,0.0,2.9550965929219617e-06,1.6182177194059377e-08
3.0679620814180363e-06,5.806048649184519e-09,3.045444753135468e-06,0.0,3.045444753135468e-06,1.6711279633384248e-08
3.1588646628020134e-06,5.831426623970042e-09,3.1357905938906714e-06,0.0,3.135790593890672e-06,1.7242642287372212e-08
3.249767244250801e-06,5.856863947024425e-09,3.2261341102846964e-06,0.0,3.2261341102846964e-06,1.7776270019080516e-08
3.3406698257645063e-06,5.882360657522195e-09,3.3164752974141174e-06,0.0,3.316475297414118e-06,1.8312167692866316e-08
3.4315724073432354e-06,5.907916793881869e-09,3.4068141503750336e-06,0.0,3.4068141503750336e-06,1.8850340174319343e-08
3.522474988987091e-06,5.933532393768641e-09,3.4971506642631277e-06,0.0,3.497150664263128e-06,1.939079233019442e-08
3.613377570696182e-06,5.959207494081748e-09,3.5874848341737567e-06,0.0,3.5874848341737567e-06,1.9933529028343824e-08
3.7042801524706126e-06,5.984942130958141e-09,3.677816655202006e-06,0.0,3.677816655202006e-06,2.0478555137649155e-08
3.795182734310488e-06,6.010736339763764e-09,3.7681461224427706e-06,0.0,3.768146122442771e-06,2.1025875527953223e-08
3.8860853162159126e-06,6.036590155093439e-09,3.858473230990827e-06,0.0,3.858473230990827e-06,2.157549506999154e-08
3.976987898186992e-06,6.062503610764184e-09,3.948797975940905e-06,0.0,3.948797975940905e-06,2.2127418635323704e-08
4.067890480223831e-06,6.088476739813979e-09,4.039120352387754e-06,0.0,4.039120352387755e-06,2.2681651096264413e-08
4.158793062326535e-06,6.114509574495503e-09,4.129440355426227e-06,0.0,4.129440355426227e-06,2.3238197325814415e-08
4.249695644495206e-06,6.1406021462759195e-09,4.219757980151337e-06,0.0,4.219757980151337e-06,2.37970621975911e-08
4.340598226729949e-06,6.166754485830073e-09,4.3100732216583595e-06,0.0,4.3100732216583595e-06,2.435825058575896e-08
4.4315008090308664e-06,6.192966623039496e-09,4.400386075042867e-06,0.0,4.400386075042867e-06,2.4921767364959834e-08
4.5224033913980625e-06,6.219238586987867e-09,4.490696535400834e-06,0.0,4.490696535400834e-06,2.5487617410242905e-08
4.613305973831641e-06,6.245570405955858e-09,4.581004597828692e-06,0.0,4.581004597828692e-06,2.6055805596994578e-08
4.7042085563317065e-06,6.27196210742367e-09,4.671310257423416e-06,0.0,4.671310257423416e-06,2.662633680086805e-08
4.795111138898364e-06,6.298413718060062e-09,4.761613509282593e-06,0.0,4.761613509282593e-06,2.7199215897712788e-08
4.886013721531713e-06,6.3249252637235175e-09,4.8519143485044835e-06,0.0,4.8519143485044835e-06,2.777444776350371e-08
4.976916304231851e-06,6.3514967694589785e-09,4.942212770188123e-06,0.0,4.942212770188123e-06,2.835203727427036e-08
5.067818886998893e-06,6.37812825949299e-09,5.032508769433374e-06,0.0,5.032508769433374e-06,2.8931989306025675e-08
5.158721469832931e-06,6.404819757233131e-09,5.122802341341003e-06,0.0,5.122802341341003e-06,2.9514308734694777e-08
5.249624052734071e-06,6.431571285261778e-09,5.213093481012767e-06,0.0,5.213093481012767e-06,3.009900043604348e-08
5.340526635702417e-06,6.4583828653331636e-09,5.303382183551479e-06,0.0,5.303382183551479e-06,3.068606928560668e-08
5.431429218738062e-06,6.48525451837542e-09,5.393668444061071e-06,0.0,5.393668444061071e-06,3.1275520158616575e-08
5.522331801841116e-06,6.512186264483129e-09,5.483952257646702e-06,0.0,5.483952257646702e-06,3.186735792993067e-08
5.613234385011677e-06,6.539178122913115e-09,5.574233619414806e-06,0.0,5.574233619414806e-06,3.246158747395976e-08
5.704136958607351e-06,6.5662239391904965e-09,5.664512521038745e-06,0.0,5.664512521038745e-06,3.305821362941663e-08
5.8404908174029694e-06,8.785241926306069e-09,5.797863837912828e-06,0.0,5.797863837912828e-06,3.384173756383523e-08
5.978107213597173e-06,8.904057391210359e-09,5.934558582134927e-06,0.0,5.934558582134928e-06,3.4644574071037656e-08
6.116986145574504e-06,9.02411160181518e-09,6.0725033520843155e-06,0.0,6.072503352084316e-06,3.545868188837115e-08
6.257127613336413e-06,9.144207159417913e-09,6.2116993628625745e-06,0.0,6.211699362862575e-06,3.628404331442145e-08
6.398531616882978e-06,9.264478108751887e-09,6.352146488994044e-06,0.0,6.352146488994044e-06,3.7120649780185646e-08
6.541198156214352e-06,9.384924598308795e-09,6.493844737147878e-06,0.0,6.493844737147879e-06,3.796849446816794e-08
6.685127231330599e-06,9.505406546076318e-09,6.636794263574447e-06,0.0,6.636794263574448e-06,3.8827561210071825e-08
6.830318842231788e-06,9.626077008375622e-09,6.780994919872882e-06,0.0,6.780994919872882e-06,3.969784535053109e-08
6.976772988918101e-06,9.746959243737924e-09,6.926446684181351e-06,0.0,6.926446684181352e-06,4.057934549301278e-08
7.124489671389745e-06,9.868075561396355e-09,7.073149533065648e-06,0.0,7.0731495330656485e-06,4.147206276270431e-08
7.273468889646953e-06,9.989447346114993e-09,7.221103441625495e-06,0.0,7.221103441625496e-06,4.237600067534304e-08
7.423710643689969e-06,1.0111095147455386e-08,7.370308383524748e-06,0.0,7.370308383524749e-06,4.329116501776512e-08
7.5752149335190785e-06,1.0233038759594585e-08,7.5207643310202555e-06,0.0,7.520764331020256e-06,4.421756373922792e-08
7.727981759134572e-06,1.0355297292965085e-08,7.672471254989222e-06,0.0,7.672471254989222e-06,4.5155206852385834e-08
7.882011120536771e-06,1.0477889238721735e-08,7.825429124955112e-06,0.0,7.825429124955112e-06,4.6104106342938264e-08
8.037303017726011e-06,1.0600832394455954e-08,7.979637909085289e-06,0.0,7.97963790908529e-06,4.7064276246265286e-08
8.193857450702652e-06,1.0724144301412979e-08,8.135097574147117e-06,0.0,8.135097574147119e-06,4.803573225412459e-08
8.351674419467069e-06,1.084784193741097e-08,8.291808085745378e-06,0.0,8.291808085745378e-06,4.9018491784277464e-08
8.510753924019643e-06,1.097194184556415e-08,8.44976940823647e-06,0.0,8.44976940823647e-06,5.0012573937609964e-08
8.671095964360795e-06,1.1096460190922126e-08,8.60898150472998e-06,0.0,8.608981504729982e-06,5.1017999439893734e-08
8.832700540490942e-06,1.1221412796463015e-08,8.769444337106079e-06,0.0,8.769444337106079e-06,5.203479058839875e-08
8.995567652410525e-06,1.1346815176003156e-08,8.93115786603167e-06,0.0,8.931157866031672e-06,5.3062971202853046e-08
9.15969730012e-06,1.147268256435065e-08,9.09412205097528e-06,0.0,9.09412205097528e-06,5.41025665803704e-08
9.32508948361984e-06,1.1599029945006442e-08,9.258336850220826e-06,0.0,9.258336850220828e-06,5.515360345400628e-08
9.491744202910525e-06,1.172587207563031e-08,9.423802220880258e-06,0.0,9.423802220880258e-06,5.621610995463741e-08
9.659661457992556e-06,1.1853223511521534e-08,9.590518118905142e-06,0.0,9.590518118905142e-06,5.7290115575889706e-08
9.828841248866442e-06,1.1981098627304927e-08,9.758484499097269e-06,0.0,9.758484499097269e-06,5.8375651141868235e-08
9.999283575532709e-06,1.2109511636988746e-08,9.927701315118251e-06,0.0,9.927701315118253e-06,5.947274877746473e-08
1.0170988437991894e-05,1.2238476612570859e-08,1.0098168519498283e-05,0.0,1.0098168519498283e-05,6.05814418810417e-08
1.0343955836244553e-05,1.23680075012938e-08,1.0269886063643946e-05,0.0,1.0269886063643946e-05,6.170176509930948e-08
1.0518185770291235e-05,1.2498118141723544e-08,1.0442853897845284e-05,0.0,1.0442853897845284e-05,6.283375430423024e-08
1.0693678240132538e-05,1.2628822278714e-08,1.0617071971282023e-05,0.0,1.0617071971282023e-05,6.397744657179874e-08
1.087043324576903e-05,1.2760133577390235e-08,1.0792540232029078e-05,0.0,1.0792540232029078e-05,6.513288016256127e-08
1.104845078720132e-05,1.2892065636219958e-08,1.0969258627061352e-05,0.0,1.0969258627061352e-05,6.630009450374926e-08
1.1227730864430011e-05,1.3024631999265852e-08,1.1147227102257837e-05,0.0,1.1147227102257837e-05,6.747913017291186e-08
1.1408273477455745e-05,1.3157846167674162e-08,1.1326445602405121e-05,0.0,1.1326445602405121e-05,6.86700288829441e-08
1.1590078626280546e-05,1.329393459794113e-08,1.1506911912852013e-05,0.0,1.1506911912852013e-05,6.987277883059189e-08
1.1771883775215434e-05,1.3348391455997365e-08,1.1687454597137613e-05,0.0,1.1687454597137613e-05,7.108078662182366e-08
1.1953688924219457e-05,1.3403026710706885e-08,1.1867992284236905e-05,0.0,1.1867992284236907e-05,7.229361327184561e-08
1.2135494073292752e-05,1.34577810133606e-08,1.2048525023557192e-05,0.0,1.2048525023557192e-05,7.351126872220366e-08
1.2317299222435418e-05,1.351265444264265e-08,1.2229052805423934e-05,0.0,1.2229052805423934e-05,7.473376256884321e-08
1.2499104371647548e-05,1.3567647019510077e-08,1.2409575620222268e-05,0.0,1.2409575620222268e-05,7.596110440577088e-08
1.2680909520929256e-05,1.3622758763317149e-08,1.2590093458341353e-05,0.0,1.2590093458341353e-05,7.71933038245823e-08
