depth,loam,sand
0,-168,-35
-1,-168,-35
-2,-168,-35
-3,-168,-35
-4,-168,-35
-5,-168,-35
-6,-168,-35
-7,-168,-35
-8,-168,-35
-9,-168,-35
-10,-168,-35
-11,-168,-35
-12,-168,-35
-13,-168,-35
-14,-168,-35
-15,-168,-35
-16,-168,-35
-17,-168,-35
-18,-168,-35
-19,-168,-35
-20,-168,-35
-21,-164.2,-34.8
-22,-160.4,-34.6
-23,-156.6,-34.4
-24,-152.8,-34.2
-25,-149,-34
-26,-145.2,-33.8
-27,-141.4,-33.6
-28,-137.6,-33.4
-29,-133.8,-33.2
-30,-130,-33
-31,-126.2,-32.8
-32,-122.4,-32.6
-33,-118.6,-32.4
-34,-114.8,-32.2
-35,-111,-32
-36,-107.2,-31.8
-37,-103.4,-31.6
-38,-99.6,-31.4
-39,-95.8,-31.2
-40,-92,-31
-41,-89.55,-31
-42,-87.1,-31
-43,-84.65,-31
-44,-82.2,-31
-45,-79.75,-31
-46,-77.3,-31
-47,-74.85,-31
-48,-72.4,-31
-49,-69.95,-31
-50,-67.5,-31
-51,-65.05,-31
-52,-62.6,-31
-53,-60.15,-31
-54,-57.7,-31
-55,-55.25,-31
-56,-52.8,-31
-57,-50.35,-31
-58,-47.9,-31
-59,-45.45,-31
-60,-43,-31
-61,-43,-31
-62,-43,-31
-63,-43,-31
-64,-43,-31
-65,-43,-31
-66,-43,-31
-67,-43,-31
-68,-43,-31
-69,-43,-31
-70,-43,-31
-71,-43,-31
-72,-43,-31
-73,-43,-31
-74,-43,-31
-75,-43,-31
