n_iter,err,diff1d3dCurrant_rel,maxdiff1d3dCurrant_rel,solve_gave_up,min__soil_solute,dt_inner,real_dtinner,failedLoop,cL
0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
1.0,100.0,7.531063446214459e-05,0.006589300372866338,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
2.0,0.01786074315440808,1.1218430519869094e-06,0.0002550132977571571,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
3.0,0.007542504517740143,2.630649681423236e-08,1.7043713760623726e-06,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
4.0,0.0005007105913687257,1.2884313472304731e-08,1.7225171518635102e-08,0.0,0.0,0.013888888888888888,0.0,0.0,0.0
0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
1.0,100.0,0.0002465287240970197,0.11689555635988169,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
2.0,0.029354199722045414,7.557350646027499e-07,0.0002269336503939557,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
3.0,0.014348733976922401,1.2707559484995532e-07,7.378317191469477e-05,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
4.0,0.0013339118841891688,6.370274863165548e-10,1.9108801220596475e-08,0.0,0.0,0.013888888888888888,0.0,0.0,0.0
0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
1.0,100.0,0.0006316659857143375,0.2421085461476487,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
2.0,0.027592890560200298,8.962733097598572e-07,0.00025959887454138787,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
3.0,0.013954105462592604,6.66583192254766e-08,4.290961930055759e-06,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
4.0,0.002038707684965137,2.1370856402256476e-08,6.589823644028283e-07,0.0,0.0,0.013888888888888888,0.0,0.0,0.0
0.0,1000000.0,1000000.0,1000000.0,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
1.0,100.0,0.0008283772991695356,0.2582041019392085,0.0,0.0,0.013888888888888888,0.0,0.0,1.0
