{'TairC': 15.81179643591559, 'TairK': 288.9617964359156, 'Pair': 1010.0, 'es': 17.95197245177131, 'Qlight': 1.8265449159621917e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.788171983054882, 'cs': 0.00035, 'RH': 0.8794672577328444, 'theta': 0.4}
{'TairC': 15.81179643591559, 'TairK': 288.9617964359156, 'Pair': 1010.0, 'es': 17.95197245177131, 'Qlight': 1.8265449159621917e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.788171983054882, 'cs': 0.00035, 'RH': 0.8794672577328444, 'theta': 0.4}
{'TairC': 15.81179643591559, 'TairK': 288.9617964359156, 'Pair': 1010.0, 'es': 17.95197245177131, 'Qlight': 1.8265449159621917e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.788171983054882, 'cs': 0.00035, 'RH': 0.8794672577328444, 'theta': 0.4}
{'TairC': 15.81179643591559, 'TairK': 288.9617964359156, 'Pair': 1010.0, 'es': 17.95197245177131, 'Qlight': 1.8265449159621917e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.788171983054882, 'cs': 0.00035, 'RH': 0.8794672577328444, 'theta': 0.4}
{'TairC': 15.847095965662156, 'TairK': 288.99709596566214, 'Pair': 1010.0, 'es': 17.992560992952797, 'Qlight': 7.292278554140097e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.795185033521763, 'cs': 0.00035, 'RH': 0.8778730854217092, 'theta': 0.4}
{'TairC': 15.847095965662156, 'TairK': 288.99709596566214, 'Pair': 1010.0, 'es': 17.992560992952797, 'Qlight': 7.292278554140097e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.795185033521763, 'cs': 0.00035, 'RH': 0.8778730854217092, 'theta': 0.4}
{'TairC': 15.847095965662156, 'TairK': 288.99709596566214, 'Pair': 1010.0, 'es': 17.992560992952797, 'Qlight': 7.292278554140097e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.795185033521763, 'cs': 0.00035, 'RH': 0.8778730854217092, 'theta': 0.4}
{'TairC': 15.847095965662156, 'TairK': 288.99709596566214, 'Pair': 1010.0, 'es': 17.992560992952797, 'Qlight': 7.292278554140097e-06, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.795185033521763, 'cs': 0.00035, 'RH': 0.8778730854217092, 'theta': 0.4}
{'TairC': 15.905629938503893, 'TairK': 289.0556299385039, 'Pair': 1010.0, 'es': 18.060043136136972, 'Qlight': 1.6355603381247796e-05, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.806684613213863, 'cs': 0.00035, 'RH': 0.8752296156804694, 'theta': 0.4}
{'TairC': 15.905629938503893, 'TairK': 289.0556299385039, 'Pair': 1010.0, 'es': 18.060043136136972, 'Qlight': 1.6355603381247796e-05, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.806684613213863, 'cs': 0.00035, 'RH': 0.8752296156804694, 'theta': 0.4}
{'TairC': 15.905629938503893, 'TairK': 289.0556299385039, 'Pair': 1010.0, 'es': 18.060043136136972, 'Qlight': 1.6355603381247796e-05, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.806684613213863, 'cs': 0.00035, 'RH': 0.8752296156804694, 'theta': 0.4}
{'TairC': 15.905629938503893, 'TairK': 289.0556299385039, 'Pair': 1010.0, 'es': 18.060043136136972, 'Qlight': 1.6355603381247796e-05, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.806684613213863, 'cs': 0.00035, 'RH': 0.8752296156804694, 'theta': 0.4}
{'TairC': 15.986952875563688, 'TairK': 289.1369528755637, 'Pair': 1010.0, 'es': 18.154167422270536, 'Qlight': 2.8947542022764436e-05, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.822391095330932, 'cs': 0.00035, 'RH': 0.871556966910027, 'theta': 0.4}
{'TairC': 15.986952875563688, 'TairK': 289.1369528755637, 'Pair': 1010.0, 'es': 18.154167422270536, 'Qlight': 2.8947542022764436e-05, 'rbl': 40.0, 'rcanopy': 0.7094460893361545, 'rair': 56.66332708901059, 'ea': 15.822391095330932, 'cs': 0.00035, 'RH': 0.871556966910027, 'theta': 0.4}
